Reference	Prediction	Ref_char	Pred_char	F_score_char	Precision_char	Recall_char
tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕho	tɕe nɤkinɯ wuma ʑo mɯɲɤmtɕhoʁ	['t', 'ɕ', 'e', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 'w', 'u', 'm', 'a', 'S', 'ʑ', 'o', 'S', 'm', 'ɯ', 'ɲ', 'ɯ', 'ɤ', 'm', 't', 'ɕ', 'h', 'o', '*']	['t', 'ɕ', 'e', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 'w', 'u', 'm', 'a', 'S', 'ʑ', 'o', 'S', 'm', 'ɯ', 'ɲ', '*', 'ɤ', 'm', 't', 'ɕ', 'h', 'o', 'ʁ']	0.884	0.895	0.93
ɯjwaʁ nɯnɯ nɤki ɯthɤcu ra rɟum ɯlɤcu tɕe luomtɕoʁ ŋ	ɯjwaʁ nɯnɯ nɤkiɯthɤcu ra ɯrɟum mɯlɤcu tɕe luomtɕoʁ ŋu	['ɯ', 'j', 'w', 'a', 'ʁ', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'n', 'ɤ', 'k', 'i', 'S', 'ɯ', 't', 'h', 'ɤ', 'c', 'u', 'S', 'r', 'a', 'S', '*', 'r', 'ɟ', 'u', 'm', 'S', '*', 'ɯ', 'l', 'ɤ', 'c', 'u', 'S', 't', 'ɕ', 'e', 'S', 'l', 'u', 'o', 'm', 't', 'ɕ', 'o', 'ʁ', 'S', 'ŋ', '*']	['ɯ', 'j', 'w', 'a', 'ʁ', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'n', 'ɤ', 'k', 'i', '*', 'ɯ', 't', 'h', 'ɤ', 'c', 'u', 'S', 'r', 'a', 'S', 'ɯ', 'r', 'ɟ', 'u', 'm', 'S', 'm', 'ɯ', 'l', 'ɤ', 'c', 'u', 'S', 't', 'ɕ', 'e', 'S', 'l', 'u', 'o', 'm', 't', 'ɕ', 'o', 'ʁ', 'S', 'ŋ', 'u']	0.936	0.926	0.952
kɯki li phaʁrgot tɕendɤre mbro tɕe kɯɣɤrʁaʁ tɯrme nɯnɯra kɤti ɲɯŋ	kɯki li phaʁrgot tɕe ndɤre mbro tɕe kɯɣɤrʁaʁ tɯrme nɯnɯra kɤti ɲɯŋu	['k', 'ɯ', 'k', 'i', 'S', 'l', 'i', 'S', 'p', 'h', 'a', 'ʁ', 'r', 'g', 'o', 't', 'S', 't', 'ɕ', 'e', '*', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'm', 'b', 'r', 'o', 'S', 't', 'ɕ', 'e', 'S', 'k', 'ɯ', 'ɣ', 'ɤ', 'r', 'ʁ', 'a', 'ʁ', 'S', 't', 'ɯ', 'r', 'm', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'r', 'a', 'S', 'k', 'ɤ', 't', 'i', 'S', 'ɲ', 'ɯ', 'ŋ', '*']	['k', 'ɯ', 'k', 'i', 'S', 'l', 'i', 'S', 'p', 'h', 'a', 'ʁ', 'r', 'g', 'o', 't', 'S', 't', 'ɕ', 'e', 'S', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'm', 'b', 'r', 'o', 'S', 't', 'ɕ', 'e', 'S', 'k', 'ɯ', 'ɣ', 'ɤ', 'r', 'ʁ', 'a', 'ʁ', 'S', 't', 'ɯ', 'r', 'm', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'r', 'a', 'S', 'k', 'ɤ', 't', 'i', 'S', 'ɲ', 'ɯ', 'ŋ', 'u']	0.918	0.956	0.96
tɕe nɯ ɯpa tɤtɕɯ stu kɯxtɕi nɯ kɯ aʑɯɣ ɯɕa tɕi mɤra ɯɕɤrɯ tɕi mɤra aʑɯɣ ɯndʐi chore ɯmar tɯtɯɣɟaβ nɯ ra  tot	tɕe nɯ ɯpa tɤtɕɯ nɯ stu kɯxtɕi nɯ kɯ aʑɯɣ ɯɕatɕi ma ra ɕɤrɯ tɕi ma ra aʑɯɣ ɯndʐi cho re ɯmat tɯtɯɣɟaβ nɯ ra toti	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'S', 'ɯ', 'p', 'a', 'S', 't', 'ɤ', 't', 'ɕ', 'ɯ', 'S', '*', '*', '*', 's', 't', 'u', 'S', 'k', 'ɯ', 'x', 't', 'ɕ', 'i', 'S', 'n', 'ɯ', 'S', 'k', 'ɯ', 'S', 'a', 'ʑ', 'ɯ', 'ɣ', 'S', 'ɯ', 'ɕ', 'a', 'S', 't', 'ɕ', 'i', 'S', 'm', '*', 'ɤ', 'r', 'a', 'S', 'ɯ', 'ɕ', 'ɤ', 'r', 'ɯ', 'S', 't', 'ɕ', 'i', 'S', 'm', '*', 'ɤ', 'r', 'a', 'S', 'a', 'ʑ', 'ɯ', 'ɣ', 'S', 'ɯ', 'n', 'd', 'ʐ', 'i', 'S', 'c', 'h', 'o', '*', 'r', 'e', 'S', 'ɯ', 'm', 'a', 'r', 'S', 't', 'ɯ', 't', 'ɯ', 'ɣ', 'ɟ', 'a', 'β', 'S', 'n', 'ɯ', 'S', 'r', 'a', 'S', 'S', 't', 'o', 't', '*']	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'S', 'ɯ', 'p', 'a', 'S', 't', 'ɤ', 't', 'ɕ', 'ɯ', 'S', 'n', 'ɯ', 'S', 's', 't', 'u', 'S', 'k', 'ɯ', 'x', 't', 'ɕ', 'i', 'S', 'n', 'ɯ', 'S', 'k', 'ɯ', 'S', 'a', 'ʑ', 'ɯ', 'ɣ', 'S', 'ɯ', 'ɕ', 'a', '*', 't', 'ɕ', 'i', 'S', 'm', 'a', 'S', 'r', 'a', 'S', '*', 'ɕ', 'ɤ', 'r', 'ɯ', 'S', 't', 'ɕ', 'i', 'S', 'm', 'a', 'S', 'r', 'a', 'S', 'a', 'ʑ', 'ɯ', 'ɣ', 'S', 'ɯ', 'n', 'd', 'ʐ', 'i', 'S', 'c', 'h', 'o', 'S', 'r', 'e', 'S', 'ɯ', 'm', 'a', 't', 'S', 't', 'ɯ', 't', 'ɯ', 'ɣ', 'ɟ', 'a', 'β', 'S', 'n', 'ɯ', 'S', 'r', 'a', '*', 'S', 't', 'o', 't', 'i']	0.924	0.927	0.93
tɕendɤre ɯʑo kɯ ɯzda nɯ ɲɯkhe ɲɤnɯsɯso qh	tɕendɤre ɯʑo kɯ ɯzda nɯ ɲɯkhe ɲɤnɯsɯso qhe	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'ɯ', 'ʑ', 'o', 'S', 'k', 'ɯ', 'S', 'ɯ', 'z', 'd', 'a', 'S', 'n', 'ɯ', 'S', 'ɲ', 'ɯ', 'k', 'h', 'e', 'S', 'ɲ', 'ɤ', 'n', 'ɯ', 's', 'ɯ', 's', 'o', 'S', 'q', 'h', '*']	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'ɯ', 'ʑ', 'o', 'S', 'k', 'ɯ', 'S', 'ɯ', 'z', 'd', 'a', 'S', 'n', 'ɯ', 'S', 'ɲ', 'ɯ', 'k', 'h', 'e', 'S', 'ɲ', 'ɤ', 'n', 'ɯ', 's', 'ɯ', 's', 'o', 'S', 'q', 'h', 'e']	0.94	0.987	0.947
tɕe nɯnɯ kɯfse chɯ́wɣtʂɯ	tɕe nɯnɯ kɯfse chɯ́wɣtʂɯβ	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'k', 'ɯ', 'f', 's', 'e', 'S', 'c', 'h', 'ɯ', '́', 'w', 'ɣ', 't', 'ʂ', 'ɯ', '*']	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'k', 'ɯ', 'f', 's', 'e', 'S', 'c', 'h', 'ɯ', '́', 'w', 'ɣ', 't', 'ʂ', 'ɯ', 'β']	0.882	0.941	0.941
li mɤʑɯ ɯkɯro ci tu tɕe ɯjaftɕin r	li mɤʑɯ kɯro ci tu tɕe ɯjaftɕinɯ ra	['l', 'i', 'S', 'm', 'ɤ', 'ʑ', 'ɯ', 'S', 'ɯ', 'k', 'ɯ', 'r', 'o', 'S', 'c', 'i', 'S', 't', 'u', 'S', 't', 'ɕ', 'e', 'S', 'ɯ', 'j', 'a', 'f', 't', 'ɕ', 'i', 'n', '*', 'S', 'r', '*']	['l', 'i', 'S', 'm', 'ɤ', 'ʑ', 'ɯ', 'S', '*', 'k', 'ɯ', 'r', 'o', 'S', 'c', 'i', 'S', 't', 'u', 'S', 't', 'ɕ', 'e', 'S', 'ɯ', 'j', 'a', 'f', 't', 'ɕ', 'i', 'n', 'ɯ', 'S', 'r', 'a']	0.921	0.912	0.938
ki kɯra ɲɯkhama tɕe ki nɤki nɯ aʑɯɣ nɯkhɤm tot	kɯkɯra nɲɯkhama tɕe nɤkinɯ aʑɯɣnɯkha mɯje toti ri	['k', 'i', 'S', 'k', 'ɯ', 'r', 'a', 'S', '*', 'ɲ', 'ɯ', 'k', 'h', 'a', 'm', 'a', 'S', 't', 'ɕ', 'e', 'S', 'k', 'i', 'S', 'n', 'ɤ', 'k', 'i', 'S', 'n', 'ɯ', 'S', 'a', 'ʑ', 'ɯ', 'ɣ', 'S', 'n', 'ɯ', 'k', 'h', '*', 'ɤ', 'm', '*', '*', '*', 'S', 't', 'o', 't', '*', '*', '*', '*']	['k', '*', 'ɯ', 'k', 'ɯ', 'r', 'a', 'S', 'n', 'ɲ', 'ɯ', 'k', 'h', 'a', 'm', 'a', 'S', 't', 'ɕ', 'e', '*', '*', '*', 'S', 'n', 'ɤ', 'k', 'i', '*', 'n', 'ɯ', 'S', 'a', 'ʑ', 'ɯ', 'ɣ', '*', 'n', 'ɯ', 'k', 'h', 'a', 'S', 'm', 'ɯ', 'j', 'e', 'S', 't', 'o', 't', 'i', 'S', 'r', 'i']	0.76	0.753	0.854
tɕeri pɯnɯmaʁ kɯnɤ aʑo tham kɯŋɤn kɤnɤma pɯnnɯsɯsota kɯn	tɕeri pɯnɯmaʁ kɯnɤ aʑo tham kɯŋɯn kɤnɤ ma pɯnnɯsɯsota kɯnɤ	['t', 'ɕ', 'e', 'r', 'i', 'S', 'p', 'ɯ', 'n', 'ɯ', 'm', 'a', 'ʁ', 'S', 'k', 'ɯ', 'n', 'ɤ', 'S', 'a', 'ʑ', 'o', 'S', 't', 'h', 'a', 'm', 'S', 'k', 'ɯ', 'ŋ', 'ɤ', 'n', 'S', 'k', 'ɤ', 'n', 'ɤ', '*', 'm', 'a', 'S', 'p', 'ɯ', 'n', 'n', 'ɯ', 's', 'ɯ', 's', 'o', 't', 'a', 'S', 'k', 'ɯ', 'n', '*']	['t', 'ɕ', 'e', 'r', 'i', 'S', 'p', 'ɯ', 'n', 'ɯ', 'm', 'a', 'ʁ', 'S', 'k', 'ɯ', 'n', 'ɤ', 'S', 'a', 'ʑ', 'o', 'S', 't', 'h', 'a', 'm', 'S', 'k', 'ɯ', 'ŋ', 'ɯ', 'n', 'S', 'k', 'ɤ', 'n', 'ɤ', 'S', 'm', 'a', 'S', 'p', 'ɯ', 'n', 'n', 'ɯ', 's', 'ɯ', 's', 'o', 't', 'a', 'S', 'k', 'ɯ', 'n', 'ɤ']	0.932	0.976	0.938
nɯnɯ pjɯ́wɣtɕɤt khɯ tɕ	nɯnɯ pjɯ́wɣtɕɤt khɯe	['n', 'ɯ', 'n', 'ɯ', 'S', 'p', 'j', 'ɯ', '́', 'w', 'ɣ', 't', 'ɕ', 'ɤ', 't', 'S', 'k', 'h', 'ɯ', 'S', 't', 'ɕ']	['n', 'ɯ', 'n', 'ɯ', 'S', 'p', 'j', 'ɯ', '́', 'w', 'ɣ', 't', 'ɕ', 'ɤ', 't', 'S', 'k', 'h', 'ɯ', '*', '*', 'e']	0.818	0.867	0.922
