Reference	Prediction	Ref_words	Pred_words	Diff_num_words	Lev_distance	Lev_distance_words	Average_lev_dist_words
tʰi˩˥ le˧qæ˧˥ mv̩˩mɤ˩tʰɑ˥dʑo˩ tʰi˩˥ hĩ˧ɳɯ˩ le˧wo˧˥ ə˧mv̩˧ki˥	tʰi˩˥ le˧qæ˧˥ mv̩˩ mɤ˧tʰɑ˥dʑo˩ tʰi˩˥ hĩ˧ɳɯ˩ le˧wo˧˥ ə˧mv̩˧ki˥	['tʰi˩˥', 'le˧qæ˧˥', 'mv̩˩mɤ˩tʰɑ˥dʑo˩', 'tʰi˩˥', 'hĩ˧ɳɯ˩', 'le˧wo˧˥', 'ə˧mv̩˧ki˥']	['tʰi˩˥', 'le˧qæ˧˥', 'mv̩˩', 'mɤ˧tʰɑ˥dʑo˩', 'tʰi˩˥', 'hĩ˧ɳɯ˩', 'le˧wo˧˥', 'ə˧mv̩˧ki˥']	1	0.975609756097561	[1.0, 1.0, 0.42105263157894735, 0.375, 0.3333333333333333, 0.14285714285714285, 0.375]	0.5210347296813462
hæ˧ni˩ tʰi˧ʑi˧mɤ˥kv̩˩mæ˩ tʰi˧dzi˩kʰɯ˩	hæ˧ni˩ tʰi˧ʑi˧mɤ˥kv̩˩mæ˩ tʰi˧dzi˩kʰɯ˩	['hæ˧ni˩', 'tʰi˧ʑi˧mɤ˥kv̩˩mæ˩', 'tʰi˧dzi˩kʰɯ˩']	['hæ˧ni˩', 'tʰi˧ʑi˧mɤ˥kv̩˩mæ˩', 'tʰi˧dzi˩kʰɯ˩']	0	1.0	[1.0, 1.0, 1.0]	1.0
njo˩kæ˧tɕi˩ɲi˥ pi˧hĩ˧ ʈʰææ̃˧ kʰɯ˧tsʰɤ˧ po˥ɳɯ˩ tsɑ˧di˧ɲi˥ ɖwæ˧˥ tʰi˧di˩kv̩˩	ɲnjɤ˩kɤ˧˥ tɕɤ˧ɲi˥ pi˩ĩ˩ ʈʂʰææ̃˧ kʰɯ˧sɤ˧ po˥ɳɯ˩ tsɑ˧di˧ɲi˥ ɖwæ˧˥ tʰi˧di˩kv̩˩	['njo˩kæ˧tɕi˩ɲi˥', 'pi˧hĩ˧', 'ʈʰææ̃˧', 'kʰɯ˧tsʰɤ˧', 'po˥ɳɯ˩', 'tsɑ˧di˧ɲi˥', 'ɖwæ˧˥', 'tʰi˧di˩kv̩˩']	['ɲnjɤ˩kɤ˧˥', 'tɕɤ˧ɲi˥', 'pi˩ĩ˩', 'ʈʂʰææ̃˧', 'kʰɯ˧sɤ˧', 'po˥ɳɯ˩', 'tsɑ˧di˧ɲi˥', 'ɖwæ˧˥', 'tʰi˧di˩kv̩˩']	1	0.8741721854304636	[0.5217391304347826, 0.2857142857142857, 0.16666666666666666, 0.25, 0.15384615384615385, 0.125, 0.26666666666666666, 0.125]	0.23682911291606942
njæ˧sɯ˩kv̩˩dʑo˩ ə˧v̩˧ ɲi˥ze˩mæ˩ tʰi˩˥ kɤ˧zo˧ mv̩˥ʈʂæ˩kv̩˩mæ˩ kɤ˧zo˧tsʰɯ˩ɻ̍˩ pi˧zo˩ kɤ˧zo˧ mv̩˥ʈʂæ˩kv̩˩mæ˩	njæ˧sɯ˩kv̩˩dʑo˩ ə˧v̩˧ ɲi˥ze˩mæ˩ tʰi˩˥ kɯ˧zo˧ mv̩˥ʈʂæ˩kv̩˩mæ˩ kɤ˧zo˧ tsʰɯ˩ɻ pi˧zo˩ kɤ˧zo˧ mv̩˥ʈʂæ˩kv̩˩mæ˩	['njæ˧sɯ˩kv̩˩dʑo˩', 'ə˧v̩˧', 'ɲi˥ze˩mæ˩', 'tʰi˩˥', 'kɤ˧zo˧', 'mv̩˥ʈʂæ˩kv̩˩mæ˩', 'kɤ˧zo˧tsʰɯ˩ɻ̍˩', 'pi˧zo˩', 'kɤ˧zo˧', 'mv̩˥ʈʂæ˩kv̩˩mæ˩']	['njæ˧sɯ˩kv̩˩dʑo˩', 'ə˧v̩˧', 'ɲi˥ze˩mæ˩', 'tʰi˩˥', 'kɯ˧zo˧', 'mv̩˥ʈʂæ˩kv̩˩mæ˩', 'kɤ˧zo˧', 'tsʰɯ˩ɻ', 'pi˧zo˩', 'kɤ˧zo˧', 'mv̩˥ʈʂæ˩kv̩˩mæ˩']	1	0.9760765550239234	[1.0, 1.0, 1.0, 1.0, 0.8333333333333334, 1.0, 0.6, 0.16666666666666666, 0.5, 0.09523809523809523]	0.7195238095238096
kʰi˧ tʰi˧dzɤ˩ mv̩˩˥ dʑo˩ tʰi˩˥ le˧ɖwæ˩zo˩ z əəə… no˧	kʰi˧ tʰi˧dzi˩ mv̩˩˥ dʑo˩ tʰi˩˥ le˧ɖæ˩zo˩ l əə̃ə… no˧	['kʰi˧', 'tʰi˧dzɤ˩', 'mv̩˩˥', 'dʑo˩', 'tʰi˩˥', 'le˧ɖwæ˩zo˩', 'z', 'əəə…', 'no˧']	['kʰi˧', 'tʰi˧dzi˩', 'mv̩˩˥', 'dʑo˩', 'tʰi˩˥', 'le˧ɖæ˩zo˩', 'l', 'əə̃ə…', 'no˧']	0	0.9423076923076923	[1.0, 0.875, 1.0, 1.0, 1.0, 0.9473684210526315, 0.0, 0.8888888888888888, 1.0]	0.85680636777128
tɕʰɤ˧ɲi˧ne˧ʝi˥ ʐo˩˥ le˧po˧˥ hõ˧ pi˧dʑo˩ zo˧bæ˩ ɖɯ˧v̩˧ ɳɯ˧ mɤ˧ɲi˧ pi˧tsɯ˩mv̩˩ ɑ˩ʁo˧	tɕʰɤ˧ɲi˧ le˧ʝi˥ ʐo˩˥ le˧po˧˥hõ˩ pi˧ dʑo˩ zo˧bæ˩ ɖɯ˧v̩˧ɳɯ˧ mɤ˧ɲi˩ pi˧tsɯ˩ mv̩˩ ɑ˩ʁo˧	['tɕʰɤ˧ɲi˧ne˧ʝi˥', 'ʐo˩˥', 'le˧po˧˥', 'hõ˧', 'pi˧dʑo˩', 'zo˧bæ˩', 'ɖɯ˧v̩˧', 'ɳɯ˧', 'mɤ˧ɲi˧', 'pi˧tsɯ˩mv̩˩', 'ɑ˩ʁo˧']	['tɕʰɤ˧ɲi˧', 'le˧ʝi˥', 'ʐo˩˥', 'le˧po˧˥hõ˩', 'pi˧', 'dʑo˩', 'zo˧bæ˩', 'ɖɯ˧v̩˧ɳɯ˧', 'mɤ˧ɲi˩', 'pi˧tsɯ˩', 'mv̩˩', 'ɑ˩ʁo˧']	1	0.9341317365269461	[0.7272727272727273, 0.2, 0.36363636363636365, 0.4, 0.6, 0.4, 0.16666666666666666, 0.5, 0.8333333333333334, 0.7777777777777778, 0.2222222222222222]	0.471900826446281
sɑ˧ mv̩˧di˩ dʑo˩ho˩ze˩pi˩ tʰi˩˥ sɑ˧ pʰo˩ mmm… wo˩ pʰo˩˥	sɑ˧ mv̩˩di˩ dʑo˩ho˩ze˩ pi˧ tʰi˩˥ sɑ˧ pʰo˩ mm… wo˩pʰo˩˥	['sɑ˧', 'mv̩˧di˩', 'dʑo˩ho˩ze˩pi˩', 'tʰi˩˥', 'sɑ˧', 'pʰo˩', 'mmm…', 'wo˩', 'pʰo˩˥']	['sɑ˧', 'mv̩˩di˩', 'dʑo˩ho˩ze˩', 'pi˧', 'tʰi˩˥', 'sɑ˧', 'pʰo˩', 'mm…', 'wo˩pʰo˩˥']	0	0.9357798165137615	[1.0, 0.8571428571428571, 0.8695652173913043, 0.25, 0.0, 0.0, 0.0, 0.0, 0.7692307692307693]	0.4162154270849923
tʰi˩˥ ə˧si˧ le˧mo˩hĩ˩ tʰv̩˩v̩˩ ʈʰææ̃˧ dʑo˩ tʰi˩˥ mmm… zo˩no˥ mmm… hĩ˧ no˧ɻ̍˩ qʰɑ˧ʈʂʰæ˧ gv̩˧hĩ˧ dʑo˧˥ kwɤ˩tɕɯ˩lɑ˩ tʰi˩˥ ʈʂʰɯ˧v̩˧dʑo˩ wɤ˩˥ ki˧kv̩˥mæ˩	tʰi˩˥ ə˧si˧le˧mo˩hĩ˩ tʰv̩˩v̩˧ tʰɯ˧ɻæ˥ dʑo˩ tʰi˩˥ mm… zo˩no˥  hĩ˧ no˧ qʰɑ˧ʈʂʰæ˧gv̩˧hĩ˧dʑo˧˥ kwɤ˩tɕɯ˩lɑ˩ tʰi˩˥ ʈʂʰɯ˧v̩˧dʑo˩ wɤ˩˥ ki˧kv̩˥mæ˩	['tʰi˩˥', 'ə˧si˧', 'le˧mo˩hĩ˩', 'tʰv̩˩v̩˩', 'ʈʰææ̃˧', 'dʑo˩', 'tʰi˩˥', 'mmm…', 'zo˩no˥', 'mmm…', 'hĩ˧', 'no˧ɻ̍˩', 'qʰɑ˧ʈʂʰæ˧', 'gv̩˧hĩ˧', 'dʑo˧˥', 'kwɤ˩tɕɯ˩lɑ˩', 'tʰi˩˥', 'ʈʂʰɯ˧v̩˧dʑo˩', 'wɤ˩˥', 'ki˧kv̩˥mæ˩']	['tʰi˩˥', 'ə˧si˧le˧mo˩hĩ˩', 'tʰv̩˩v̩˧', 'tʰɯ˧ɻæ˥', 'dʑo˩', 'tʰi˩˥', 'mm…', 'zo˩no˥', '', 'hĩ˧', 'no˧', 'qʰɑ˧ʈʂʰæ˧gv̩˧hĩ˧dʑo˧˥', 'kwɤ˩tɕɯ˩lɑ˩', 'tʰi˩˥', 'ʈʂʰɯ˧v̩˧dʑo˩', 'wɤ˩˥', 'ki˧kv̩˥mæ˩']	-3	0.9241379310344827	[1.0, 0.5, 0.1111111111111111, 0.26666666666666666, 0.0, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0, 0.2857142857142857, 0.14285714285714285, 0.1, 0.15384615384615385, 0.35294117647058826, 0.4, 0.26666666666666666, 0.0, 0.0, 0.0]	0.19010127127774187
ʁwɤ˧qo˧ ʐv̩˧tsʰi˩ʑi˩ dʑo˩bi˩bi˩ zo˩no˥ əəə… ʐv̩˧tsʰi˩ʑi˩ le˧ʈʂv̩˩se˩dʑo˩ wɤ˩˥ ɑ˩pʰo˩˥ gæ˧ɻæ˩ əəə… lɑ˧ŋwɤ˧ qʰæ˧tɕʰi˧ tʰv̩˧ ə˧zɯ˩ qʰwɤ˩ɖɯ˩ dʑo˩˥ pi˧	ʁwɤ˧qo˧ ʐv̩˧tsʰi˩ʑi˩dʑo˩bi˩bi˩ zo˩no˥ əəə… ʐv̩˧tsʰi˩ʑi˩ le˧ʈʂv̩˩se˩dʑo˩ wɤ˩˥ ɑ˩pʰo˩˥ gæ˧ɻæ˩ m lɑ˧ŋwɤ˧ qʰæ˧tɕʰi˩ tʰv̩˧ ə˧zɯ˩ qʰwɤ˩ɖɯ˩ dʑo˩˥ pi˧	['ʁwɤ˧qo˧', 'ʐv̩˧tsʰi˩ʑi˩', 'dʑo˩bi˩bi˩', 'zo˩no˥', 'əəə…', 'ʐv̩˧tsʰi˩ʑi˩', 'le˧ʈʂv̩˩se˩dʑo˩', 'wɤ˩˥', 'ɑ˩pʰo˩˥', 'gæ˧ɻæ˩', 'əəə…', 'lɑ˧ŋwɤ˧', 'qʰæ˧tɕʰi˧', 'tʰv̩˧', 'ə˧zɯ˩', 'qʰwɤ˩ɖɯ˩', 'dʑo˩˥', 'pi˧']	['ʁwɤ˧qo˧', 'ʐv̩˧tsʰi˩ʑi˩dʑo˩bi˩bi˩', 'zo˩no˥', 'əəə…', 'ʐv̩˧tsʰi˩ʑi˩', 'le˧ʈʂv̩˩se˩dʑo˩', 'wɤ˩˥', 'ɑ˩pʰo˩˥', 'gæ˧ɻæ˩', 'm', 'lɑ˧ŋwɤ˧', 'qʰæ˧tɕʰi˩', 'tʰv̩˧', 'ə˧zɯ˩', 'qʰwɤ˩ɖɯ˩', 'dʑo˩˥', 'pi˧']	-1	0.9722222222222222	[1.0, 0.7058823529411765, 0.25, 0.0, 0.0, 0.4444444444444444, 0.10526315789473684, 0.36363636363636365, 0.15384615384615385, 0.0, 0.0, 0.125, 0.42857142857142855, 0.2, 0.3076923076923077, 0.15384615384615385, 0.0, 0.0]	0.23545457571515363
wɤ˩˥ le˧lɑ˧˥ wɤ˩˥ ɑ˩ʁo˧ tʰi˧tɕɯ˥ wɤ˩˥ ʝi˧lv̩˧˥ ʈʂʰɯ˧lɑ˩ ɲi˩ wɤ˩	wɤ˩˥ le˧lɑ˧˥ wɤ˩˥ ɑ˩ʁo˧ tʰi˧tɕɯ˥ wɤ˩˥ ʝi˧l̩˥ ʈʂʰɯ˧lɑ˩ ɲi˩ wɤ˩	['wɤ˩˥', 'le˧lɑ˧˥', 'wɤ˩˥', 'ɑ˩ʁo˧', 'tʰi˧tɕɯ˥', 'wɤ˩˥', 'ʝi˧lv̩˧˥', 'ʈʂʰɯ˧lɑ˩', 'ɲi˩', 'wɤ˩']	['wɤ˩˥', 'le˧lɑ˧˥', 'wɤ˩˥', 'ɑ˩ʁo˧', 'tʰi˧tɕɯ˥', 'wɤ˩˥', 'ʝi˧l̩˥', 'ʈʂʰɯ˧lɑ˩', 'ɲi˩', 'wɤ˩']	0	0.9838709677419355	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8571428571428571, 1.0, 1.0, 1.0]	0.9857142857142858
