Reference	Prediction	Ref_words	Pred_words	Diff_num_words	Lev_distance	Lev_distance_words	Average_lev_dist_words
tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɤmtɕhoʁ	['tɕe', 'nɤkinɯ', 'wuma', 'ʑo', 'mɯɲɯɤmtɕhoʁ']	['tɕe', 'nɤkinɯ', 'wuma', 'ʑo', 'mɯɲɤmtɕhoʁ']	0	0.9830508474576272	[1.0, 1.0, 1.0, 1.0, 0.9523809523809523]	0.9904761904761905
ɯjwaʁ nɯnɯ nɤki ɯthɤcu ra rɟum ɯlɤcu tɕe luomtɕoʁ ŋu	ɯjwaʁ nɯnɯ nɤkiɯthɤcu ra ɯrɟum mɯlɤcu tɕe luomtɕoʁ ŋu	['ɯjwaʁ', 'nɯnɯ', 'nɤki', 'ɯthɤcu', 'ra', 'rɟum', 'ɯlɤcu', 'tɕe', 'luomtɕoʁ', 'ŋu']	['ɯjwaʁ', 'nɯnɯ', 'nɤkiɯthɤcu', 'ra', 'ɯrɟum', 'mɯlɤcu', 'tɕe', 'luomtɕoʁ', 'ŋu']	-1	0.9714285714285714	[1.0, 1.0, 0.5714285714285714, 0.0, 0.2857142857142857, 0.2, 0.0, 0.36363636363636365, 0.2, 0.0]	0.36207792207792205
kɯki li phaʁrgot tɕendɤre mbro tɕe kɯɣɤrʁaʁ tɯrme nɯnɯra kɤti ɲɯŋu	kɯki li phaʁrgot tɕe ndɤre mbro tɕe kɯɣɤrʁaʁ tɯrme nɯnɯra kɤti ɲɯŋu	['kɯki', 'li', 'phaʁrgot', 'tɕendɤre', 'mbro', 'tɕe', 'kɯɣɤrʁaʁ', 'tɯrme', 'nɯnɯra', 'kɤti', 'ɲɯŋu']	['kɯki', 'li', 'phaʁrgot', 'tɕe', 'ndɤre', 'mbro', 'tɕe', 'kɯɣɤrʁaʁ', 'tɯrme', 'nɯnɯra', 'kɤti', 'ɲɯŋu']	1	0.9924812030075187	[1.0, 1.0, 1.0, 0.5454545454545454, 0.2222222222222222, 0.0, 0.0, 0.3076923076923077, 0.36363636363636365, 0.0, 0.0]	0.40354594900049445
tɕe nɯ ɯpa tɤtɕɯ stu kɯxtɕi nɯ kɯ aʑɯɣ ɯɕa tɕi mɤra ɯɕɤrɯ tɕi mɤra aʑɯɣ ɯndʐi chore ɯmar tɯtɯɣɟaβ nɯ ra  toti	tɕe nɯ ɯpa tɤtɕɯ nɯ stu kɯxtɕi nɯ kɯ aʑɯɣ ɯɕatɕi ma ra ɕɤrɯ tɕi ma ra aʑɯɣ ɯndʐi cho re ɯmat tɯtɯɣɟaβ nɯ ra toti	['tɕe', 'nɯ', 'ɯpa', 'tɤtɕɯ', 'stu', 'kɯxtɕi', 'nɯ', 'kɯ', 'aʑɯɣ', 'ɯɕa', 'tɕi', 'mɤra', 'ɯɕɤrɯ', 'tɕi', 'mɤra', 'aʑɯɣ', 'ɯndʐi', 'chore', 'ɯmar', 'tɯtɯɣɟaβ', 'nɯ', 'ra', '', 'toti']	['tɕe', 'nɯ', 'ɯpa', 'tɤtɕɯ', 'nɯ', 'stu', 'kɯxtɕi', 'nɯ', 'kɯ', 'aʑɯɣ', 'ɯɕatɕi', 'ma', 'ra', 'ɕɤrɯ', 'tɕi', 'ma', 'ra', 'aʑɯɣ', 'ɯndʐi', 'cho', 're', 'ɯmat', 'tɯtɯɣɟaβ', 'nɯ', 'ra', 'toti']	2	0.9321266968325792	[1.0, 1.0, 1.0, 1.0, 0.0, 0.2222222222222222, 0.25, 0.5, 0.3333333333333333, 0.2857142857142857, 0.6666666666666666, 0.6666666666666666, 0.2857142857142857, 0.2857142857142857, 0.0, 0.3333333333333333, 0.0, 0.0, 0.2222222222222222, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0]	0.34937169312169314
tɕendɤre ɯʑo kɯ ɯzda nɯ ɲɯkhe ɲɤnɯsɯso qhe	tɕendɤre ɯʑo kɯ ɯzda nɯ ɲɯkhe ɲɤnɯsɯso qhe	['tɕendɤre', 'ɯʑo', 'kɯ', 'ɯzda', 'nɯ', 'ɲɯkhe', 'ɲɤnɯsɯso', 'qhe']	['tɕendɤre', 'ɯʑo', 'kɯ', 'ɯzda', 'nɯ', 'ɲɯkhe', 'ɲɤnɯsɯso', 'qhe']	0	1.0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	1.0
tɕe nɯnɯ kɯfse chɯ́wɣtʂɯβ	tɕe nɯnɯ kɯfse chɯ́wɣtʂɯβ	['tɕe', 'nɯnɯ', 'kɯfse', 'chɯ́wɣtʂɯβ']	['tɕe', 'nɯnɯ', 'kɯfse', 'chɯ́wɣtʂɯβ']	0	1.0	[1.0, 1.0, 1.0, 1.0]	1.0
li mɤʑɯ ɯkɯro ci tu tɕe ɯjaftɕin ra	li mɤʑɯ kɯro ci tu tɕe ɯjaftɕinɯ ra	['li', 'mɤʑɯ', 'ɯkɯro', 'ci', 'tu', 'tɕe', 'ɯjaftɕin', 'ra']	['li', 'mɤʑɯ', 'kɯro', 'ci', 'tu', 'tɕe', 'ɯjaftɕinɯ', 'ra']	0	0.9714285714285714	[1.0, 1.0, 0.8888888888888888, 1.0, 1.0, 1.0, 0.9411764705882353, 1.0]	0.9787581699346405
ki kɯra ɲɯkhama tɕe ki nɤki nɯ aʑɯɣ nɯkhɤm toti	kɯkɯra nɲɯkhama tɕe nɤkinɯ aʑɯɣnɯkha mɯje toti ri	['ki', 'kɯra', 'ɲɯkhama', 'tɕe', 'ki', 'nɤki', 'nɯ', 'aʑɯɣ', 'nɯkhɤm', 'toti']	['kɯkɯra', 'nɲɯkhama', 'tɕe', 'nɤkinɯ', 'aʑɯɣnɯkha', 'mɯje', 'toti', 'ri']	-2	0.8125	[0.25, 0.3333333333333333, 0.0, 0.0, 0.18181818181818182, 0.0, 0.0, 0.0, 0.0, 0.0]	0.07651515151515151
nɯnɯ rgoŋlu nɯ nɯɕɯmɯma ʑo tɯnɤndʐaβlaβ joʑa tɕe jondʐaβ nɤ jondʐaβ	ɲɤmɟa tɕe tɕendɤre ɯthoʁ tɕe pjɤβde ri nɤki	['nɯnɯ', 'rgoŋlu', 'nɯ', 'nɯɕɯmɯma', 'ʑo', 'tɯnɤndʐaβlaβ', 'joʑa', 'tɕe', 'jondʐaβ', 'nɤ', 'jondʐaβ']	['ɲɤmɟa', 'tɕe', 'tɕendɤre', 'ɯthoʁ', 'tɕe', 'pjɤβde', 'ri', 'nɤki']	-3	0.34545454545454546	[0.0, 0.0, 0.2, 0.15384615384615385, 0.0, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0]	0.05236985236985237
tɕeri pɯnɯmaʁ kɯnɤ aʑo tham kɯŋɤn kɤnɤma pɯnnɯsɯsota kɯnɤ	tɕeri pɯnɯmaʁ kɯnɤ aʑo tham kɯŋɯn kɤnɤ ma pɯnnɯsɯsota kɯnɤ	['tɕeri', 'pɯnɯmaʁ', 'kɯnɤ', 'aʑo', 'tham', 'kɯŋɤn', 'kɤnɤma', 'pɯnnɯsɯsota', 'kɯnɤ']	['tɕeri', 'pɯnɯmaʁ', 'kɯnɤ', 'aʑo', 'tham', 'kɯŋɯn', 'kɤnɤ', 'ma', 'pɯnnɯsɯsota', 'kɯnɤ']	1	0.9739130434782609	[1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 0.8, 0.15384615384615385, 0.26666666666666666]	0.7800569800569801
