tʰi˩˥	tʰ i ˩˥  
əəə…	əəə…  
mv̩˩	m v̩ ˩  
ʈʂʰɯ˧ne˧ʝi˥	ʈʂʰ ɯ ˧ n e ˧ ʝ i ˥  
hĩ˧	h ĩ ˧  
pi˧	p i ˧  
dʑo˩	dʑ o ˩  
zo˩no˥	z o ˩ n o ˥  
wɤ˩˥	wɤ ˩˥  
mæ˩	m æ ˩  
ə˩gi˩	ə ˩ g i ˩  
ə˧mi˧	ə ˧ m i ˧  
njɤ˧	n jɤ ˧  
ə˧ʝi˧ʂɯ˥ʝi˩	ə ˧ ʝ i ˧ ʂ ɯ ˥ ʝ i ˩  
ʈʂʰɯ˧	ʈʂʰ ɯ ˧  
mmm…	mmm…  
no˧	n o ˧  
pi˧zo˩	p i ˧ z o ˩  
ɑ˩ʁo˧	ɑ ˩ ʁ o ˧  
hɑ˧	h ɑ ˧  
ʈʂʰɯ˧ne˧	ʈʂʰ ɯ ˧ n e ˧  
pi˧dʑo˩	p i ˧ dʑ o ˩  
ɖɯ˧v̩˧	ɖ ɯ ˧ v̩ ˧  
ɲi˩	ɲ i ˩  
ɖɯ˧ɭɯ˧	ɖ ɯ ˧ ɭ ɯ ˧  
ʈʂʰɯ˧dʑo˩	ʈʂʰ ɯ ˧ dʑ o ˩  
ʐwæ˧	ʐ wæ ˧  
njæ˧sɯ˩kv̩˩	n jæ ˧ s ɯ ˩ k v̩ ˩  
ə˧tso˧	ə ˧ ts o ˧  
ə˧ʝi˧ʂɯ˥ʝi˩dʑo˩	ə ˧ ʝ i ˧ ʂ ɯ ˥ ʝ i ˩ dʑ o ˩  
ɖɯ˧tɑ˧˥	ɖ ɯ ˧ t ɑ ˧˥  
zo˧	z o ˧  
ɖwæ˧˥	ɖ wæ ˧˥  
ʈʂʰɯ˧qo˧	ʈʂʰ ɯ ˧ q o ˧  
gi˩˥	g i ˩˥  
ʝi˥	ʝ i ˥  
ʝi˧	ʝ i ˧  
hĩ˧ʈʂʰɯ˧	h ĩ ˧ ʈʂʰ ɯ ˧  
pi˧tsɯ˩	p i ˧ ts ɯ ˩  
ə˧tso˧mɤ˧ɲi˩	ə ˧ ts o ˧ m ɤ ˧ ɲ i ˩  
ə˧mɑ˧	ə ˧ m ɑ ˧  
ə˧v̩˧˥	ə ˧ v̩ ˧˥  
ʈʰææ̃˧	ʈʰ æ æ̃ ˧  
ʐɯ˧	ʐ ɯ ˧  
mɤ˧dʑo˧	m ɤ ˧ dʑ o ˧  
pi˩	p i ˩  
ʈæ˧bɤ˧	ʈ æ ˧ b ɤ ˧  
dʑɤ˩˥	dʑ ɤ ˩˥  
dʑɯ˧	dʑ ɯ ˧  
ʐwɤ˩kv̩˩˥	ʐ wɤ ˩ k v̩ ˩˥  
ʑi˧qʰwɤ˧	ʑ i ˧ qʰ wɤ ˧  
õ˧bv̩˥õ˩	õ ˧ b v̩ ˥ õ ˩  
ʂe˧	ʂ e ˧  
le˧po˧tsʰɯ˧˥	l e ˧ p o ˧ tsʰ ɯ ˧˥  
sɑ˧	s ɑ ˧  
tʰi˧dzi˩	tʰ i ˧ dz i ˩  
tʰv̩˧	tʰ v̩ ˧  
æ˧ʂæ˧	æ ˧ ʂ æ ˧  
ɖɯ˧kʰwɤ˥	ɖ ɯ ˧ kʰ wɤ ˥  
ɖɯ˧pi˧˥	ɖ ɯ ˧ p i ˧˥  
di˩li˩ʁo˩bv̩˥	d i ˩ l i ˩ ʁ o ˩ b v̩ ˥  
tʰi˧ki˧	tʰ i ˧ k i ˧  
tʰi˧kʰɯ˧˥	tʰ i ˧ kʰ ɯ ˧˥  
ə˧zɯ˩	ə ˧ z ɯ ˩  
ʁɑ˩mi˧	ʁ ɑ ˩ m i ˧  
ʂɯ˧	ʂ ɯ ˧  
zo˧mv̩˥	z o ˧ m v̩ ˥  
mɤ˧ɲi˩	m ɤ ˧ ɲ i ˩  
õ	õ  
pi˧kv̩˩	p i ˧ k v̩ ˩  
tʰi˩kʰɯ˩	tʰ i ˩ kʰ ɯ ˩  
ɖɯ˧ʂɯ˩	ɖ ɯ ˧ ʂ ɯ ˩  
hĩ˧ɻæ˥	h ĩ ˧ ɻ æ ˥  
tʰi˧tɕɯ˥	tʰ i ˧ tɕ ɯ ˥  
v̩˩tsʰɤ˧˥	v̩ ˩ tsʰ ɤ ˧˥  
zo˩qo˧	z o ˩ q o ˧  
ɬo˧pv̩˥	ɬ o ˧ p v̩ ˥  
ɲi˥	ɲ i ˥  
dzɯ˧	dz ɯ ˧  
kwɤ˩tɕɯ˩lɑ˩	k wɤ ˩ tɕ ɯ ˩ l ɑ ˩  
le˧tɕɤ˧˥	l e ˧ tɕ ɤ ˧˥  
qʰɑ˩jɤ˩	qʰ ɑ ˩ jɤ ˩  
qʰɑ˩ne˩	qʰ ɑ ˩ n e ˩  
qʰɑ˩ne˩˥	qʰ ɑ ˩ n e ˩˥  
tɕɯ˩	tɕ ɯ ˩  
wɤ˩	wɤ ˩  
ɖɯ˧njɤ˧	ɖ ɯ ˧ n jɤ ˧  
dʑo˧ɲi˥	dʑ o ˧ ɲ i ˥  
ho˧di˧	h o ˧ d i ˧  
ki˩	k i ˩  
le˧	l e ˧  
li˩	l i ˩  
dʑo˧	dʑ o ˧  
mv̩˧	m v̩ ˧  
mv̩˩˥	m v̩ ˩˥  
tʰv̩˧qo˧	tʰ v̩ ˧ q o ˧  
ɖɯ˧kʰv̩˧˥	ɖ ɯ ˧ kʰ v̩ ˧˥  
go˧mi˧	g o ˧ m i ˧  
ĩ˧	ĩ ˧  
le˧gv̩˩	l e ˧ g v̩ ˩  
njɤ˧ɻ̍˩	n jɤ ˧ ɻ̍ ˩  
no˧˥	n o ˧˥  
õ˧˥	õ ˧˥  
ɖɯ˧ɲi˥dʑo˩	ɖ ɯ ˧ ɲ i ˥ dʑ o ˩  
ə˧mi˧ɳɯ˧	ə ˧ m i ˧ ɳ ɯ ˧  
ʈʰæ˧qʰwɤ˧	ʈʰ æ ˧ qʰ wɤ ˧  
no˧sɯ˩kv̩˩	n o ˧ s ɯ ˩ k v̩ ˩  
tʰv̩˩	tʰ v̩ ˩  
dzi˩	dz i ˩  
dʑɯ˩ʁo˩˥	dʑ ɯ ˩ ʁ o ˩˥  
gɤ˩tɕo˧	g ɤ ˩ tɕ o ˧  
hĩ˧ɳɯ˩	h ĩ ˧ ɳ ɯ ˩  
le˧ti˩	l e ˧ t i ˩  
mv̩˩tɕo˧	m v̩ ˩ tɕ o ˧  
õ˧ʈʂʰɯ˧ne˧ʝi˥	õ ˧ ʈʂʰ ɯ ˧ n e ˧ ʝ i ˥  
pi˧hĩ˧	p i ˧ h ĩ ˧  
tʰv̩˩dʑo˩	tʰ v̩ ˩ dʑ o ˩  
zɯ˧	z ɯ ˧  
le˧tɕɯ˧˥	l e ˧ tɕ ɯ ˧˥  
