Reference	Prediction	Ref_noTones	Pred_noTones	Ref_words_noTones	Pred_words_noTones	Diff_num_words	Lev_distance_noTones	Lev_distance_words_notones	Average_lev_dist_notones
tʰi˩˥ le˧qæ˧˥ mv̩˩mɤ˩tʰɑ˥dʑo˩ tʰi˩˥ hĩ˧ɳɯ˩ le˧wo˧˥ ə˧mv̩˧ki˥	tʰi˩˥ le˧qæ˧˥ mv̩˩ mɤ˧tʰɑ˥dʑo˩ tʰi˩˥ hĩ˧ɳɯ˩ le˧wo˧˥ ə˧mv̩˧ki˥	tʰi leqæ mv̩mɤtʰɑdʑo tʰi hĩɳɯ lewo əmv̩ki	tʰi leqæ mv̩ mɤtʰɑdʑo tʰi hĩɳɯ lewo əmv̩ki	['tʰi', 'leqæ', 'mv̩mɤtʰɑdʑo', 'tʰi', 'hĩɳɯ', 'lewo', 'əmv̩ki']	['tʰi', 'leqæ', 'mv̩', 'mɤtʰɑdʑo', 'tʰi', 'hĩɳɯ', 'lewo', 'əmv̩ki']	1	0.9882352941176471	[1.0, 1.0, 0.42857142857142855, 0.36363636363636365, 0.25, 0.0, 0.0]	0.43460111317254174
hæ˧ni˩ tʰi˧ʑi˧mɤ˥kv̩˩mæ˩ tʰi˧dzi˩kʰɯ˩	hæ˧ni˩ tʰi˧ʑi˧mɤ˥kv̩˩mæ˩ tʰi˧dzi˩kʰɯ˩	hæni tʰiʑimɤkv̩mæ tʰidzikʰɯ	hæni tʰiʑimɤkv̩mæ tʰidzikʰɯ	['hæni', 'tʰiʑimɤkv̩mæ', 'tʰidzikʰɯ']	['hæni', 'tʰiʑimɤkv̩mæ', 'tʰidzikʰɯ']	0	1.0	[1.0, 1.0, 1.0]	1.0
njo˩kæ˧tɕi˩ɲi˥ pi˧hĩ˧ ʈʰææ̃˧ kʰɯ˧tsʰɤ˧ po˥ɳɯ˩ tsɑ˧di˧ɲi˥ ɖwæ˧˥ tʰi˧di˩kv̩˩	ɲnjɤ˩kɤ˧˥ tɕɤ˧ɲi˥ pi˩ĩ˩ ʈʂʰææ̃˧ kʰɯ˧sɤ˧ po˥ɳɯ˩ tsɑ˧di˧ɲi˥ ɖwæ˧˥ tʰi˧di˩kv̩˩	njokætɕiɲi pihĩ ʈʰææ̃ kʰɯtsʰɤ poɳɯ tsɑdiɲi ɖwæ tʰidikv̩	ɲnjɤkɤ tɕɤɲi piĩ ʈʂʰææ̃ kʰɯsɤ poɳɯ tsɑdiɲi ɖwæ tʰidikv̩	['njokætɕiɲi', 'pihĩ', 'ʈʰææ̃', 'kʰɯtsʰɤ', 'poɳɯ', 'tsɑdiɲi', 'ɖwæ', 'tʰidikv̩']	['ɲnjɤkɤ', 'tɕɤɲi', 'piĩ', 'ʈʂʰææ̃', 'kʰɯsɤ', 'poɳɯ', 'tsɑdiɲi', 'ɖwæ', 'tʰidikv̩']	1	0.8928571428571429	[0.375, 0.2, 0.2222222222222222, 0.15384615384615385, 0.2222222222222222, 0.0, 0.0, 0.0]	0.1466613247863248
njæ˧sɯ˩kv̩˩dʑo˩ ə˧v̩˧ ɲi˥ze˩mæ˩ tʰi˩˥ kɤ˧zo˧ mv̩˥ʈʂæ˩kv̩˩mæ˩ kɤ˧zo˧tsʰɯ˩ɻ̍˩ pi˧zo˩ kɤ˧zo˧ mv̩˥ʈʂæ˩kv̩˩mæ˩	njæ˧sɯ˩kv̩˩dʑo˩ ə˧v̩˧ ɲi˥ze˩mæ˩ tʰi˩˥ kɯ˧zo˧ mv̩˥ʈʂæ˩kv̩˩mæ˩ kɤ˧zo˧ tsʰɯ˩ɻ pi˧zo˩ kɤ˧zo˧ mv̩˥ʈʂæ˩kv̩˩mæ˩	njæsɯkv̩dʑo əv̩ ɲizemæ tʰi kɤzo mv̩ʈʂækv̩mæ kɤzotsʰɯɻ̍ pizo kɤzo mv̩ʈʂækv̩mæ	njæsɯkv̩dʑo əv̩ ɲizemæ tʰi kɯzo mv̩ʈʂækv̩mæ kɤzo tsʰɯɻ pizo kɤzo mv̩ʈʂækv̩mæ	['njæsɯkv̩dʑo', 'əv̩', 'ɲizemæ', 'tʰi', 'kɤzo', 'mv̩ʈʂækv̩mæ', 'kɤzotsʰɯɻ̍', 'pizo', 'kɤzo', 'mv̩ʈʂækv̩mæ']	['njæsɯkv̩dʑo', 'əv̩', 'ɲizemæ', 'tʰi', 'kɯzo', 'mv̩ʈʂækv̩mæ', 'kɤzo', 'tsʰɯɻ', 'pizo', 'kɤzo', 'mv̩ʈʂækv̩mæ']	1	0.9736842105263158	[1.0, 1.0, 1.0, 1.0, 0.75, 1.0, 0.5714285714285714, 0.0, 0.5, 0.13333333333333333]	0.6954761904761905
kʰi˧ tʰi˧dzɤ˩ mv̩˩˥ dʑo˩ tʰi˩˥ le˧ɖwæ˩zo˩ z əəə… no˧	kʰi˧ tʰi˧dzi˩ mv̩˩˥ dʑo˩ tʰi˩˥ le˧ɖæ˩zo˩ l əə̃ə… no˧	kʰi tʰidzɤ mv̩ dʑo tʰi leɖwæzo z əəə… no	kʰi tʰidzi mv̩ dʑo tʰi leɖæzo l əə̃ə… no	['kʰi', 'tʰidzɤ', 'mv̩', 'dʑo', 'tʰi', 'leɖwæzo', 'z', 'əəə…', 'no']	['kʰi', 'tʰidzi', 'mv̩', 'dʑo', 'tʰi', 'leɖæzo', 'l', 'əə̃ə…', 'no']	0	0.925	[1.0, 0.8333333333333334, 1.0, 1.0, 1.0, 0.9230769230769231, 0.0, 0.8888888888888888, 1.0]	0.8494776828110161
tɕʰɤ˧ɲi˧ne˧ʝi˥ ʐo˩˥ le˧po˧˥ hõ˧ pi˧dʑo˩ zo˧bæ˩ ɖɯ˧v̩˧ ɳɯ˧ mɤ˧ɲi˧ pi˧tsɯ˩mv̩˩ ɑ˩ʁo˧	tɕʰɤ˧ɲi˧ le˧ʝi˥ ʐo˩˥ le˧po˧˥hõ˩ pi˧ dʑo˩ zo˧bæ˩ ɖɯ˧v̩˧ɳɯ˧ mɤ˧ɲi˩ pi˧tsɯ˩ mv̩˩ ɑ˩ʁo˧	tɕʰɤɲineʝi ʐo lepo hõ pidʑo zobæ ɖɯv̩ ɳɯ mɤɲi pitsɯmv̩ ɑʁo	tɕʰɤɲi leʝi ʐo lepohõ pi dʑo zobæ ɖɯv̩ɳɯ mɤɲi pitsɯ mv̩ ɑʁo	['tɕʰɤɲineʝi', 'ʐo', 'lepo', 'hõ', 'pidʑo', 'zobæ', 'ɖɯv̩', 'ɳɯ', 'mɤɲi', 'pitsɯmv̩', 'ɑʁo']	['tɕʰɤɲi', 'leʝi', 'ʐo', 'lepohõ', 'pi', 'dʑo', 'zobæ', 'ɖɯv̩ɳɯ', 'mɤɲi', 'pitsɯ', 'mv̩', 'ɑʁo']	1	0.9411764705882353	[0.75, 0.0, 0.3333333333333333, 0.6, 0.5714285714285714, 0.2857142857142857, 0.0, 0.5, 1.0, 0.7692307692307693, 0.0]	0.43724608724608727
sɑ˧ mv̩˧di˩ dʑo˩ho˩ze˩pi˩ tʰi˩˥ sɑ˧ pʰo˩ mmm… wo˩ pʰo˩˥	sɑ˧ mv̩˩di˩ dʑo˩ho˩ze˩ pi˧ tʰi˩˥ sɑ˧ pʰo˩ mm… wo˩pʰo˩˥	sɑ mv̩di dʑohozepi tʰi sɑ pʰo mmm… wo pʰo	sɑ mv̩di dʑohoze pi tʰi sɑ pʰo mm… wopʰo	['sɑ', 'mv̩di', 'dʑohozepi', 'tʰi', 'sɑ', 'pʰo', 'mmm…', 'wo', 'pʰo']	['sɑ', 'mv̩di', 'dʑohoze', 'pi', 'tʰi', 'sɑ', 'pʰo', 'mm…', 'wopʰo']	0	0.9629629629629629	[1.0, 1.0, 0.875, 0.4, 0.0, 0.0, 0.0, 0.0, 0.75]	0.44722222222222224
tʰi˩˥ ə˧si˧ le˧mo˩hĩ˩ tʰv̩˩v̩˩ ʈʰææ̃˧ dʑo˩ tʰi˩˥ mmm… zo˩no˥ mmm… hĩ˧ no˧ɻ̍˩ qʰɑ˧ʈʂʰæ˧ gv̩˧hĩ˧ dʑo˧˥ kwɤ˩tɕɯ˩lɑ˩ tʰi˩˥ ʈʂʰɯ˧v̩˧dʑo˩ wɤ˩˥ ki˧kv̩˥mæ˩	tʰi˩˥ ə˧si˧le˧mo˩hĩ˩ tʰv̩˩v̩˧ tʰɯ˧ɻæ˥ dʑo˩ tʰi˩˥ mm… zo˩no˥  hĩ˧ no˧ qʰɑ˧ʈʂʰæ˧gv̩˧hĩ˧dʑo˧˥ kwɤ˩tɕɯ˩lɑ˩ tʰi˩˥ ʈʂʰɯ˧v̩˧dʑo˩ wɤ˩˥ ki˧kv̩˥mæ˩	tʰi əsi lemohĩ tʰv̩v̩ ʈʰææ̃ dʑo tʰi mmm… zono mmm… hĩ noɻ̍ qʰɑʈʂʰæ gv̩hĩ dʑo kwɤtɕɯlɑ tʰi ʈʂʰɯv̩dʑo wɤ kikv̩mæ	tʰi əsilemohĩ tʰv̩v̩ tʰɯɻæ dʑo tʰi mm… zono  hĩ no qʰɑʈʂʰægv̩hĩdʑo kwɤtɕɯlɑ tʰi ʈʂʰɯv̩dʑo wɤ kikv̩mæ	['tʰi', 'əsi', 'lemohĩ', 'tʰv̩v̩', 'ʈʰææ̃', 'dʑo', 'tʰi', 'mmm…', 'zono', 'mmm…', 'hĩ', 'noɻ̍', 'qʰɑʈʂʰæ', 'gv̩hĩ', 'dʑo', 'kwɤtɕɯlɑ', 'tʰi', 'ʈʂʰɯv̩dʑo', 'wɤ', 'kikv̩mæ']	['tʰi', 'əsilemohĩ', 'tʰv̩v̩', 'tʰɯɻæ', 'dʑo', 'tʰi', 'mm…', 'zono', '', 'hĩ', 'no', 'qʰɑʈʂʰægv̩hĩdʑo', 'kwɤtɕɯlɑ', 'tʰi', 'ʈʂʰɯv̩dʑo', 'wɤ', 'kikv̩mæ']	-3	0.9259259259259259	[1.0, 0.46153846153846156, 0.0, 0.36363636363636365, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.13333333333333333, 0.2222222222222222, 0.5, 0.4, 0.2, 0.0, 0.0, 0.0]	0.16903651903651903
ʁwɤ˧qo˧ ʐv̩˧tsʰi˩ʑi˩ dʑo˩bi˩bi˩ zo˩no˥ əəə… ʐv̩˧tsʰi˩ʑi˩ le˧ʈʂv̩˩se˩dʑo˩ wɤ˩˥ ɑ˩pʰo˩˥ gæ˧ɻæ˩ əəə… lɑ˧ŋwɤ˧ qʰæ˧tɕʰi˧ tʰv̩˧ ə˧zɯ˩ qʰwɤ˩ɖɯ˩ dʑo˩˥ pi˧	ʁwɤ˧qo˧ ʐv̩˧tsʰi˩ʑi˩dʑo˩bi˩bi˩ zo˩no˥ əəə… ʐv̩˧tsʰi˩ʑi˩ le˧ʈʂv̩˩se˩dʑo˩ wɤ˩˥ ɑ˩pʰo˩˥ gæ˧ɻæ˩ m lɑ˧ŋwɤ˧ qʰæ˧tɕʰi˩ tʰv̩˧ ə˧zɯ˩ qʰwɤ˩ɖɯ˩ dʑo˩˥ pi˧	ʁwɤqo ʐv̩tsʰiʑi dʑobibi zono əəə… ʐv̩tsʰiʑi leʈʂv̩sedʑo wɤ ɑpʰo gæɻæ əəə… lɑŋwɤ qʰætɕʰi tʰv̩ əzɯ qʰwɤɖɯ dʑo pi	ʁwɤqo ʐv̩tsʰiʑidʑobibi zono əəə… ʐv̩tsʰiʑi leʈʂv̩sedʑo wɤ ɑpʰo gæɻæ m lɑŋwɤ qʰætɕʰi tʰv̩ əzɯ qʰwɤɖɯ dʑo pi	['ʁwɤqo', 'ʐv̩tsʰiʑi', 'dʑobibi', 'zono', 'əəə…', 'ʐv̩tsʰiʑi', 'leʈʂv̩sedʑo', 'wɤ', 'ɑpʰo', 'gæɻæ', 'əəə…', 'lɑŋwɤ', 'qʰætɕʰi', 'tʰv̩', 'əzɯ', 'qʰwɤɖɯ', 'dʑo', 'pi']	['ʁwɤqo', 'ʐv̩tsʰiʑidʑobibi', 'zono', 'əəə…', 'ʐv̩tsʰiʑi', 'leʈʂv̩sedʑo', 'wɤ', 'ɑpʰo', 'gæɻæ', 'm', 'lɑŋwɤ', 'qʰætɕʰi', 'tʰv̩', 'əzɯ', 'qʰwɤɖɯ', 'dʑo', 'pi']	-1	0.9722222222222222	[1.0, 0.72, 0.18181818181818182, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.36363636363636365, 0.0, 0.2222222222222222, 0.0, 0.0, 0.0]	0.16042648709315377
wɤ˩˥ le˧lɑ˧˥ wɤ˩˥ ɑ˩ʁo˧ tʰi˧tɕɯ˥ wɤ˩˥ ʝi˧lv̩˧˥ ʈʂʰɯ˧lɑ˩ ɲi˩ wɤ˩	wɤ˩˥ le˧lɑ˧˥ wɤ˩˥ ɑ˩ʁo˧ tʰi˧tɕɯ˥ wɤ˩˥ ʝi˧l̩˥ ʈʂʰɯ˧lɑ˩ ɲi˩ wɤ˩	wɤ lelɑ wɤ ɑʁo tʰitɕɯ wɤ ʝilv̩ ʈʂʰɯlɑ ɲi wɤ	wɤ lelɑ wɤ ɑʁo tʰitɕɯ wɤ ʝil̩ ʈʂʰɯlɑ ɲi wɤ	['wɤ', 'lelɑ', 'wɤ', 'ɑʁo', 'tʰitɕɯ', 'wɤ', 'ʝilv̩', 'ʈʂʰɯlɑ', 'ɲi', 'wɤ']	['wɤ', 'lelɑ', 'wɤ', 'ɑʁo', 'tʰitɕɯ', 'wɤ', 'ʝil̩', 'ʈʂʰɯlɑ', 'ɲi', 'wɤ']	0	0.9882352941176471	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8888888888888888, 1.0, 1.0, 1.0]	0.9888888888888889
