path	sentence
hist140430_jin_e_S005.wav	stu kɯ-wxti chondɤre nɯ ɯ-pa nɯ tɯ-lɤt ni wuma ʑo pjɤ-ɕqraʁ-ndʑi.
hist140511_xinbada_hanghai_lixianji_S063.wav	ɯ-tu-kɯ-nɯɬoʁ ɲɤ-me.
hist140425_shizi_puluomixiusi_he_daxiang_S006.wav	koŋla tu-kɤ-sɤɣmu kowa /to/ to-βzu tɕe, 
hist-21-mdzadi_S034.wav	ŋotɕu ta-ndza tɕe, stoʁ phaʁ kɯ-fse tu-nɯɣmbɤβ ɕti.
hist-27-tWCGArgu_S008.wav	tɕe tɤ-mu ɯ-pɕoʁ ɲɯ-kɯ-ɤɣɯrɯz ɣɤʑu,
hist140426_laXthAB_S020.wav	nɯ laχthɤβ nɯ wuma ʑo cha tɕe,
hist140514_huishuohua_de_niao_S202.wav	nɯ ɕ-pjɤ-mto tɕe tɕendɤre, nɤkinɯ, nɯnɯ si nɯ ɣɯ ɯ-taʁ nɯtɕu ɯ-rtaʁ ci ɲɤ-nɯ-phɯt.
hist-22-kuwu_S016.wav	praʁ ɯ-ŋgɯ ri ʁɟa ku-nɯ-rɤloʁ,
hist140430_lang_he_qizhi_xiaoshanyang_S001.wav	kɯreri spjaŋkɯ chondɤre, nɤki, tshɯtho kɯɕnɯz pjɤ-tu tɕe, nɯnɯ pjɯ-fɕɤt ɲɯ-ŋu.
hist140513_shenqi_de_feitan_S002.wav	tɤ-βɟu ɲɯ-kɯ-nɯqambɯmbjom kɯ-cha, iɕqha khɯwɯsi 
hist-27-kikakCi_S187.wav	ma kɯ-wxti sthɯci maŋe, ɕkɤrɯ nɯ,
hist140521_jianding_de_xibing_S077.wav	tɕeri nɯnɯ tɤ-pɤtso nɯ chondɤre iɕqha nɯ-kɯ-sɤβlo nɯnɯ, nɤkinɯ, pjɤ-ɣi-ndʑi tɕe ɣɯ-ɲɤ-ɕar-ndʑi ri maka mɯ-pjɤ-mto-ndʑi.
hist-28-qapar_S083.wav	tɕe nɯ tɕhɯɕrɤm ŋu tɕe,
hist-03-mWrmWmbjW_S014.wav	tɕendɤre tɯmɯ ci kɯxtɕɯxtɕi pjɤ-lɤt tɕe (nɤkinɯ)
hist140517_buai_shuohua_de_gongzhu_S016.wav	tɕendɤre ju-ru tɕe nɤkinɯ, iɕqha nɯ, 
hist-24-zwArqhAjmAG_S032.wav	paqe kɯ-fse, nɯra nɯ-taʁ tu-ɬoʁ ɲɯ-ŋu. 
hist-28-CAmWGdW_S006.wav	nɯnɯ ɣɯ ɯʁrɤt nɯ pjɯ-xtsɯ-nɯ
hist140428_mu_e_guniang_S187.wav	zgoku /ɯjɤ/ ɯ-kɤcu jɤ-ɕe, 
hist-27-kharwut_S059.wav	nɤkinɯ, tɤ-ndɤr nɯnɯ, kú-wɣ-rtoʁ ɲɯ-saχsɤl.
hist-07-Cku_S133.wav	nɯtɕu tɕe tɕe
hist-15-babW_S239.wav	iɕqha ɯ-mɯntoʁ ɣɯ ɯ-fkɯm kɯ-fse nɯnɯ, nɤki,
hist-13-NAnWkWmtsWG_S040.wav	tɕe nɯnɯ nɤkinɯ, kɯ-qiaβ tɕi me, kɯ-chi tɕi me, kɯ-mɤrtsaβ tɕi me.
hist140522_Kamnyu_tshupa_S035.wav	tɕe nɯnɯ tham tɯrme tɯ-rdoʁ ma me tɕe, wubaohu 五保户 ŋu 
hist-04-xiaocunzhuang_S037.wav	tɕhi jamar ʑo tɯ-xpa jamar nɯ-anɯrɕo tɕhi jamar ʑo, nɤki, nɯ nɯ-anɯrɕo, nɯ tɤ-rʑaʁ nɯ-anɯri kɯma, 
hist140518_huifei_de_muma_S101.wav	laʁnɯ-sŋi to-tsu qhe, tɕendɤre, nɤkinɯ iɕqha,
hist-06-tANgAr_S004.wav	zgoku chondɤre, nɯnɯ, ɯ-ŋgɤr tu-kɯ-ti ŋu 
hist-26-kWlAGpopo_S036.wav	ɯ-jaʁndzu ɯ-ku ʑo tɤ-azɣɯt tɕe ɲɯ-nɯqambɯmbjom ŋu.
hist-24-pGArtsAG_S097.wav	you kɯ-tu kɯ-fse, tɯ-kri kɯ-tu kɯ-fse mu ʑo tu-ndze mɤ-khɯ.
hist-29-LantshAm_S052.wav	tɕe nɯnɯ tɕe akɯpɕoʁ ri, tɕetu, nɤki,
hist140428_yonggan_de_xiaocaifeng_S092.wav	tɕe to-mtsaʁ tɕe nɯnɯ si ɣɯ ɯ-rtaʁ cho ɯ-jwaʁ ra nɯ-rchɤβ nɯ tɕu ɯʑo to-ɕe
hist140505_liuhaohan_zoubian_tianxia_S269.wav	ɯ-thoʁ ra aʁɤndɯndɤt ʑo jo-sɤzɣɯt-nɯ.
hist-30-tAsno_S053.wav	tsuku kɯ soʁma ɲɯ-rku-nɯ. 
hist140522_Kamnyu_zgo_S202.wav	_thɣɤji tu-ti-nɯ ŋgrɤl
hist140522_Kamnyu_tWji2_S051.wav	tham tɕe, kɤmɲɯ ɣɯ rgɯnba ta-βzu-nɯ ma
hist140521_jianding_de_xibing_S034.wav	ɯ-ŋga ra kɯ-mpɕɯ-mpɕɤr ʑo pjɤ-ŋu tɕe nɤki,
hist-31-cha_S059.wav	tɕe nɯ ɯ-ŋgɯ tu-rku-nɯ
hist-31-qala_S038.wav	"""ki maka qala kɯ pjɤ́-wɣ-nɯβlu-a tɕe z-ɲɯ-ɕar-a ɲɯ-ntshi ma,"
hist140430_lang_he_qizhi_xiaoshanyang_S110.wav	tɕendɤre tshɯthopɯ nɯ kɯ to-ti tɕe,
hist-30-mboR_S043.wav	ɯ-tshɯɣa nɯ tɕhila kɯ-fse thɯ-kɤ-βzu ŋu tɕe,
hist-27-qartshAz_S066.wav	nɯnɯ wuma ʑo ɲɯ-rkɯn khi
hist-02-deluge2012_S100.wav	pɯnɯɕe ra toti
hist140513_abide_he_mogui_S015.wav	tɕe nɯnɯ kɯ-fse, iɕqha nɯ, iɕqha nɯ, nɯre kɯra pɕaʁ cho ra mɯ-mɤ-la-βzu-nɯ, 
hist-14-sWNgWJu_S147.wav	iɕqha nɯ rcanɯ, paʁ ra kɯ tu-ndza-nɯ ŋu ri,
hist-27-kikakCi_S078.wav	tɕeri, nɤki, sɯjno nɯra tu-ndze ɲɯ-ŋu ri,
hist-19-mi2_S004.wav	ɯ-mɯntoʁ pɯ-ŋgra tɕe,
hist140520_xiaoyida_de_huar_S110.wav	gangqin ɣɯ ɯ-rkɯ nɯtɕu tɕe, nɤki, mɯntoʁ kɯ-mbro ci kɯ-wxti ci, iɕqha baihehua nɯnɯ,
hist-30-Com_S047.wav	tɕe nɯnɯ ɕom ŋu.
hist140427_xiong_he_mei_S028.wav	"nɤʑɯɣ nɤ-sɯm kɯ-sna nɯnɯ kɯ nɤ-ʁzɯɣ mɤ-kɯ-mpɕɤr nɯnɯ  pjɯ-sɯ-ɕphɤt cha"" to-ti ɲɯ-ŋu."
hist-24-pGArtsAG_S095.wav	χpɤltɕin ɯ-mu ɣɯ nɯ tu-mŋɤm ŋgrɤl tɕe,
hist-27-kikakCi_S156.wav	nɯŋa ɯ-pɯ nɯ, rgali jamar ɣɤʑu khi ma
hist-30-tAsno_S077.wav	tɕe nɯnɯ tɕe, chɯ-taʁ-nɯ tɕe tɕe nɯnɯ kɯ li ɯ-xtɤpa tu-sɯ-xtɕɤr-nɯ.
hist-06-qaZmbri_S062.wav	nɤkinɯ lu-ɣɤtsrɯ tɕe, nɯnɯ ɯ-mɯntoʁ, nɯre ɯ-mɯntoʁ ɲɯ-lɤt-nɯ ɲɯ-ŋu
hist140518_jinyin_chengbao_S083.wav	hanɯni kɯ-pe ci pjɤ-mto-nɯ.
hist-31-cha_S143.wav	ɯ-χcɤl ri ɕukhwi tu-kɯ-ti tɕe nɯ
hist-25-stoRthAB_S007.wav	tɕe nɯnɯ stoʁthɤβ tu-kɯ-ti ŋu.
hist140513_mutong_de_disheng_S150.wav	li pjɤ-rɟaʁ.
hist-26-mYaRmtsaR_S045.wav	ɯ-thɤcu nɯ, ɯ-mphɯz kɯ-fse nɯ kɯ-wxtɯ-wxti kɯ-ɤrtɯm ɲɯ-ŋu. 
hist-21-jmAGni_S009.wav	tɕe nɯnɯ ɯ-ru ra kɯ-xtɯt ci ŋu.
hist-25-qraR_S024.wav	tɕeri sɯjno nɯra kɯmɯxte mɯ́j-phɯt.
hist-07-Cku_S008.wav	tɕe nɯnɯra li nɤkinɯ, qandzojoɕku nɯnɯ, ʁjɯβ kɯ, nɤki, 
hist140514_huishuohua_de_niao_S006.wav	baodan ra tu-ti-nɯ ɕti, nɯnɯ kɯnɤ kupa-skɤt ɲɯ-ɕti
hist140520_xiaoyida_de_huar_S092.wav	"""wo ɲɯ-ŋu tɕe, nɯnɯtɕu rca wuma ʑo ɲɯ-sɤscit nɤ!"" /ɲɤs/ to-ti."
