File	Prediction
hist150908_qianli_xundi_1.wav	tɕe kɯɕɯŋgɯ tɕe iɕqha minchaouɯraŋg nɯ tɕu pjɤŋu tɕendɤre iɕqha nɤki yanguo kɤti rɟɤlkhɤβ ɣɯ nɯrɟɤlpu nɯ kɯ iɕqha nɯ
hist150908_qianli_xundi_2.wav	iɕqha nɯ ɯftsa nɯnɯ rɟɤlpu lusɯndɤm pjɤsɯso
hist150908_qianli_xundi_3.wav	tɕe nɯ rɟɤlpu lusɯndɤm pjɤsɯso tɕe tɕendɤre nɤkinɯ sɤtɕha ra tosɤtʂoʁloʁnɯ ʑo ɕti tɕe tɕendɤre iɕqha nɯ
hist150908_qianli_xundi_4.wav	shandong nɯtɕu ɯrmi zhangxiaobing kɯrmi ci tɯtsɣe ɯkɯβzu ci pjɤtu tɤtɕɯ
hist150908_qianli_xundi_5.wav	tɕendɤre ɯrʑaβ nɯ ɯskhrɯ mɯɲɤβdi χsɯsla ma mɯtoβzu ri tɕendɤre ɯpɕi joɬoʁndʑi ɲɤphɣondʑi pjɤra matɕi
hist150908_qianli_xundi_6.wav	sɤtɕha ra pjɤkɤtʂoʁloʁci qhe tɕe nɯra tɕetha kɯsɤɣʑi ra pɯme ma ɲɤsɯsondʑi qhe tɕe nɯ jophɣondʑi
hist150908_qianli_xundi_7.wav	tɕeri tʂu jɤarindʑi tɕe tɕendɤre kɯdɤn mɯtotsundʑi ma tɕendɤre ʁmaʁ ra pjɤdɤn qhe nɯra tɯrme kɯnɤphɯphɣo nɯra qhe tówɣsɤtʂoʁloʁnɯ ʑo ɕti qhe ɯrʑaβ ɲɤ́wɣsɯβde
hist150908_qianli_xundi_8.wav	qhe ʁzɤmi ni ʑaka jonɯɕendʑi tɕe tɤtɕɯ nɯ kɯ ɯrʑaβ ɯskhrɯm mɤkɯβdi nɯ pjɤnɯzdɯɣ tɕe aʁɤndɯndɤt ʑo ɲɤɕar ri maka mɯpjɤmto
hist150908_qianli_xundi_9.wav	mɯpjɤmto qhe tɕendɤre nɤkinɯ iɕqha nɯ ɯrʑaβ nɯ ma kɯ ɯʁjɯβ ci nɤ kɤmto mɯpjɤcha qhe wuma ʑo pjɤnɯzdɯɣ
hist150908_qianli_xundi_10.wav	tɕe pjɤnɯzdɯɣ ri kɤpa pjɤme qhe joɕe qhe tɕendɤre tɯsŋi qhe nɤkinɯ iɕqha nɯ
hist150908_qianli_xundi_11.wav	li iɕqha kɯnɤphɯphɣo ra nɯrca nɯtɕu tɕe joɣi tɕe shandong pjɤrɤʑi ɕti ri nɯra kɤɕar nts ke huolan ɲozɣɯt
hist150908_qianli_xundi_12.wav	huolan nɯnɯ jozɣɯt qhe tɕendɤre nɯtɕu qhe tɕe nɤkinɯ tɯtsɣe ɯkɯβzu tsuku ɲɤkɤtɯɣci qhe nɯ ɕɯŋgɯ ɯkɤnɯfse ci ɲɤkɤtɯɣci
hist150908_qianli_xundi_13.wav	tɕe nɯ kɯ ɲɤ́wɣnɯkhɤda qhe manɯtɯnɯzdɯɣ tɕe toti tɕe iɕqha tɯtsɣe sɤβzu ɣɯ ʁdɤnba ra ɲɤ́wɣznɤŋgɯ qhe
hist150908_qianli_xundi_14.wav	tɕendɤre nɯra nɤʑo tɯtsɣe tɤβze toti
hist150908_qianli_xundi_15.wav	tɕendɤre nɯ ɯqhu tɕe tɕendɤre kɯki zhangxiaobin nɯnɯ huolan nɯtɕu lorɤʑi qhe
