Reference	Prediction
tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wumaʑo mɯɲɯɤmtɕoʁ
ɯjwaʁ nɯnɯ nɤki ɯthɤcu ra rɟum ɯlɤcu tɕe luomtɕoʁ ŋu	ɯjwaʁ nɯnɯ nɤki ɯthɤcu ra rɟum ɯlocu tɕe luomtɕoʁ ŋu
kɯki li phaʁrgot tɕendɤre mbro tɕe kɯɣɤrʁaʁ tɯrme nɯnɯra kɤti ɲɯŋu	kɯki li phaʁrgot tɕendɤre mbro tɕe kɯɣɤrʁaʁ tɯrme nɯnɯra kɤti ɲɯŋu
tɕe nɯ ɯpa tɤtɕɯ stu kɯxtɕi nɯ kɯ aʑɯɣ ɯɕa tɕi mɤra ɯɕɤrɯ tɕi mɤra aʑɯɣ ɯndʐi chore ɯmar tɯtɯɣɟaβ nɯ ra  toti	tɕenɯ ɯpa tɤtɕɯ ɯstu kɯxtɕi nɯkɯɤtɯɣ ɯɕa tɕima aɕɤrɯ tɕima aʑɯɣ ɯndʐi chora ɯmat tɯtɯɣɟaβ nɯra toti
tɕendɤre ɯʑo kɯ ɯzda nɯ ɲɯkhe ɲɤnɯsɯso qhe	tɕendɤre ɯʑo kɯ ɯzda nɯ ɲɯkhe ɲ nɯsɯsoj qhe
tɕe nɯnɯ kɯfse chɯ́wɣtʂɯβ	tɕen nɯkɯfse chɯ́wɣtʂɯβ
li mɤʑɯ ɯkɯro ci tu tɕe ɯjaftɕin ra	li mɤʑɯ kɯro ci tuthe jaŋtɕin ra
ki kɯra ɲɯkhama tɕe ki nɤki nɯ aʑɯɣ nɯkhɤm toti	kɯkɯra ɲɯkhama tɕe nɤkinɯ aʑɯɣ nɯkha mɯjoɣinɯ
nɯnɯ rgoŋlu nɯ nɯɕɯmɯma ʑo tɯnɤndʐaβlaβ joʑa tɕe jondʐaβ nɤ jondʐaβ	ɲɤmɟa tɕetɕendɤre ɯthoʁ tɕ pjɤβde ri nɤki
tɕeri pɯnɯmaʁ kɯnɤ aʑo tham kɯŋɤn kɤnɤma pɯnnɯsɯsota kɯnɤ	tɕeri pɯnɯmaʁ kɯnɤ aʑo tham kɯŋɤn kɤnɯ nɯsɯsota kɯnɤ
nɯnɯ pjɯ́wɣtɕɤt khɯ tɕe	nɯnɯ pjɯ́wɣtɕɤt khɯt
tɕe nɯnɯ ɣɯ ɯjwaʁ nɯ rʁɤβrʁɤβ kɯpa ci ŋu tɕe	tɕenɯ nɯɣɯ ɯjwaʁ nɯrʁɯrʁa kɯpa ci ŋutɕ
tɕendɤre iɕqha nɯ maka ɯʑo ʑo tonɯʑɣɤnɯkon qhe joɕe ɲɯŋu	tɕendɤre iɕqhanɯ maka ɯʑo ʑo tonɯ ɣɤ ɯkɯnɯ qhe joɕe ɲɯŋu
tɕendɤre sŋi χsɯsŋi ɲówɣznɤʁaʁ ʑo tɕendɤre 	tɕendɤre li χsɯsŋi ɲɤ́wɣznɤʁaʁ tɕetɕendɤre
ɯjwaʁ nɯra qandzɤjo ɯjwaʁ tsa ɲɯfse	ɯjwaʁ nɯra qandzɤjo ɯjwaʁ tsa ɲɯfse
ɲɤnɤrɯra ri rcanɯ ɯtɯqanɯ pjɤsɤre ʑo 	ɲɤnɤrɯra ri rcanɯ ɯtɯqanɯ pjɤsɤre ʑo
tɕendɤre nɤkinɯ tɕe nɯra pɯfse nɯra pɯraŋ tɕe kɯre jɤɣea pɯra toti	tɕendɤrenɤkinɯ tɕe nɯra pɯfse nɯra pɯraŋ tɕekɯ jɤɣea pɯra toti
ɯqhu nɯ tɕu zdɯm kɯɲaʁ ci luɣi ŋu tɕe	aqhu nɯtɕu ɯqhu nɯtɕu zdɯm kɯɲaʁ ci luɣi ŋu tɕe
ɯmɯntoʁ wuma ʑo mpɕɤr ɯdi sɤjloʁ	ɯmɯntoʁ wumaʑo mpɕɤr ɯdi sɤjloʁ
chɯtɯt tɕe tɕe nɯnɯ thɯtɯt ri tɕe tɕendɤre	chɯtɯt tɕetɕe nɯnɯ thɯtɯt ritɕe tɕendɤre
tɕendɤre iɕqha tɤrte ɯkɯnɤrte tɯrme nɯ kɯ wo mɤʁdɯɣ manɯtɯ manɯtɯnɯzdɯɣnɯ kɤmbɣom mɤra ma aʑo aβlu tu toti	tɕendɤre iɕqha tɤrte ɯkɯnɤrte tɯrme nɯkɯɤtɯɣ manɯtɯmu tɯnɯzdɯɣnɯ kɤmbro mɤra maka lutɯ
ɯŋgɯ lɤɣi jɤɣ ma sɤcɯ mɤalɤt nɯra toti 	ɯŋgɯ lɤɣi jɤɣ ma sɤcɯ mɤalɤt nɯra toti
ɯβri chɤmar rcanɯ tɕendɤre 	ɯβri chɤmar rcanɯ tɕendɤre
staʁpɯ nɤki tɯsqar ri ɯcu ɲɯlɤt mɯpɯŋɡrɤl 	staχpɯ tɯsqar ɲɯlɤt mɯpɯŋgrɤl
χajaŋ nɯ kɯrɯ skɤt ŋu	χajaŋ nɯ kɯrɯskɤt ŋu
iʑora tɕe sɤndɤɣ tutinɯ ɕti	iʑora tɕe sɤndɤɣ tutinɯ ɕti
