tɕe	t ɕ e
nɯ	n ɯ
nɯnɯ	n ɯ n ɯ
ʑo	ʑ o
tɕendɤre	t ɕ e n d ɤ r e
kɯ	k ɯ
ma	m a
ŋu	ŋ u
iɕqha	i ɕ q h a
nɤkinɯ	n ɤ k i n ɯ
ra	r a
ci	c i
ɲɯŋu	ɲ ɯ ŋ u
ri	r i
nɯra	n ɯ r a
ɣɯ	ɣ ɯ
nɤki	n ɤ k i
kɯfse	k ɯ f s e
qhe	q h e
toti	t o t i
li	l i
wuma	w u m a
tu	t u
ɯŋgɯ	ɯ ŋ g ɯ
nɯtɕu	n ɯ t ɕ u
tɕeri	t ɕ e r i
ɕti	ɕ t i
kɯki	k ɯ k i
ɯtaʁ	ɯ t a ʁ
kɯnɤ	k ɯ n ɤ
nɤ	n ɤ
aʑo	a ʑ o
pjɤŋu	p j ɤ ŋ u
kɤti	k ɤ t i
jamar	j a m a r
tɕu	t ɕ u
maka	m a k a
rcanɯ	r c a n ɯ
ki	k i
ɯʑo	ɯ ʑ o
ɣɤʑu	ɣ ɤ ʑ u
tɯrme	t ɯ r m e
cho	c h o
me	m e
tutinɯ	t u t i n ɯ
tsa	t s a
rɟɤlpu	r ɟ ɤ l p u
ŋgrɤl	ŋ g r ɤ l
nɤʑo	n ɤ ʑ o
ɯjwaʁ	ɯ j w a ʁ
tɯci	t ɯ c i
tɕhi	t ɕ h i
ɯɕki	ɯ ɕ k i
ndɤre	n d ɤ r e
pjɤtu	p j ɤ t u
ntsɯ	n t s ɯ
si	s i
wo	w o
kɯwxti	k ɯ w x t i
ɯnɯnɯ	ɯ n ɯ n ɯ
ɯrkɯ	ɯ r k ɯ
stu	s t u
mɤʑɯ	m ɤ ʑ ɯ
tukɯti	t u k ɯ t i
zɯ	z ɯ
kha	k h a
kɯtu	k ɯ t u
fse	f s e
nɯnɯra	n ɯ n ɯ r a
ɲɯɕti	ɲ ɯ ɕ t i
ɯku	ɯ k u
ɯqhu	ɯ q h u
maʁ	m a ʁ
tɕheme	t ɕ h e m e
ɯmɯntoʁ	ɯ m ɯ n t o ʁ
tuɬoʁ	t u ɬ o ʁ
tɤpɤtso	t ɤ p ɤ t s o
ɯru	ɯ r u
tɤɕime	t ɤ ɕ i m e
maŋe	m a ŋ e
ɲɤsɯso	ɲ ɤ s ɯ s o
cha	c h a
chondɤre	c h o n d ɤ r e
joɕe	j o ɕ e
koŋla	k o ŋ l a
tsuku	t s u k u
ɯpa	ɯ p a
ɯmdoʁ	ɯ m d o ʁ
tuti	t u t i
sɯŋgɯ	s ɯ ŋ g ɯ
tundze	t u n d z e
ɯmat	ɯ m a t
tɯrdoʁ	t ɯ r d o ʁ
tɤtɕɯ	t ɤ t ɕ ɯ
ʁɟa	ʁ ɟ a
rmi	r m i
rca	r c a
kɯxtɕɯxtɕi	k ɯ x t ɕ ɯ x t ɕ i
tɕi	t ɕ i
joɣi	j o ɣ i
kɯxtɕi	k ɯ x t ɕ i
ɲɯfse	ɲ ɯ f s e
kɯɕɯŋgɯ	k ɯ ɕ ɯ ŋ g ɯ
ɯtɕɯ	ɯ t ɕ ɯ
ɲɯβze	ɲ ɯ β z e
iʑora	i ʑ o r a
sɯjno	s ɯ j n o
sthɯci	s t h ɯ c i
pɯŋu	p ɯ ŋ u
ɲɯra	ɲ ɯ r a
χsɤr	χ s ɤ r
ni	n i
tɯji	t ɯ j i
kɯra	k ɯ r a
ɯqa	ɯ q a
ɯrme	ɯ r m e
kɯme	k ɯ m e
pjɤme	p j ɤ m e
kurɤʑi	k u r ɤ ʑ i
nɯɕɯmɯma	n ɯ ɕ ɯ m ɯ m a
sɤtɕha	s ɤ t ɕ h a
matɕi	m a t ɕ i
kɯwxtɯwxti	k ɯ w x t ɯ w x t i
qachɣa	q a c h ɣ a
kɯmaʁ	k ɯ m a ʁ
lonba	l o n b a
mbro	m b r o
ɯpɯ	ɯ p ɯ
kɯwɣrum	k ɯ w ɣ r u m
mɤxsi	m ɤ x s i
pjɤɕti	p j ɤ ɕ t i
kɤndza	k ɤ n d z a
aʁɤndɯndɤt	a ʁ ɤ n d ɯ n d ɤ t
kɯɲaʁ	k ɯ ɲ a ʁ
nɯnɯtɕu	n ɯ n ɯ t ɕ u
ŋotɕu	ŋ o t ɕ u
ɯspa	ɯ s p a
tham	t h a m
tɯsŋi	t ɯ s ŋ i
tuβze	t u β z e
sna	s n a
ɯtshɯɣa	ɯ t s h ɯ ɣ a
nɯreri	n ɯ r e r i
ɯjaʁ	ɯ j a ʁ
kɯmaqhu	k ɯ m a q h u
ɯrʑaβ	ɯ r ʑ a β
pɣa	p ɣ a
qajɯ	q a j ɯ
ɯme	ɯ m e
jɤɣ	j ɤ ɣ
mɯntoʁ	m ɯ n t o ʁ
ɯjme	ɯ j m e
khro	k h r o
mɤcha	m ɤ c h a
apɯŋu	a p ɯ ŋ u
totinɯ	t o t i n ɯ
ɬɤndʐi	ɬ ɤ n d ʐ i
ɲɯŋgrɤl	ɲ ɯ ŋ g r ɤ l
spjaŋkɯ	s p j a ŋ k ɯ
ɯstu	ɯ s t u
ɯrɣi	ɯ r ɣ i
ʁnɯz	ʁ n ɯ z
dɤn	d ɤ n
khi	k h i
kɤmto	k ɤ m t o
kɯpe	k ɯ p e
pe	p e
tɯŋga	t ɯ ŋ g a
ɯphoŋbu	ɯ p h o ŋ b u
χsɯm	χ s ɯ m
pɣɤtɕɯ	p ɣ ɤ t ɕ ɯ
rgɤtpu	r g ɤ t p u
ɕɯŋgɯ	ɕ ɯ ŋ g ɯ
sɤz	s ɤ z
tɯmɯ	t ɯ m ɯ
ɯrmi	ɯ r m i
ɯβri	ɯ β r i
ɲɤme	ɲ ɤ m e
mpɕɤr	m p ɕ ɤ r
ɕɤr	ɕ ɤ r
sɤznɤ	s ɤ z n ɤ
tɯtɯrca	t ɯ t ɯ r c a
ɯmɲaʁ	ɯ m ɲ a ʁ
ɲɯcha	ɲ ɯ c h a
ʑɯrɯʑɤri	ʑ ɯ r ɯ ʑ ɤ r i
kutɕu	k u t ɕ u
pɕoʁ	p ɕ o ʁ
ɯthoʁ	ɯ t h o ʁ
kɯmɤku	k ɯ m ɤ k u
tɯrgi	t ɯ r g i
pɯpɯŋu	p ɯ p ɯ ŋ u
rŋɯl	r ŋ ɯ l
ɲɯsɯsɤm	ɲ ɯ s ɯ s ɤ m
juɕe	j u ɕ e
kɯdɯdɤn	k ɯ d ɯ d ɤ n
nɯre	n ɯ r e
ɯmɤlɤjaʁ	ɯ m ɤ l ɤ j a ʁ
kɯmpɕɤr	k ɯ m p ɕ ɤ r
toβzu	t o β z u
kupa	k u p a
nɯŋa	n ɯ ŋ a
qhendɤre	q h e n d ɤ r e
rdɤstaʁ	r d ɤ s t a ʁ
lɯlu	l ɯ l u
qaɟy	q a ɟ y
ɕi	ɕ i
ɯpi	ɯ p i
ɯχcɤl	ɯ χ c ɤ l
mɤɕtʂa	m ɤ ɕ t ʂ a
paʁ	p a ʁ
ɯmdzu	ɯ m d z u
ɯpɕi	ɯ p ɕ i
ɯrqhu	ɯ r q h u
ʁo	ʁ o
naχtɕɯɣ	n a χ t ɕ ɯ ɣ
pjɤra	p j ɤ r a
