Reference	Prediction	Ref_words	Pred_words	Diff_num_words	Lev_distance	Lev_distance_words	Average_lev_dist_words
tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wumaʑo mɯɲɯɤmtɕoʁ	['tɕe', 'nɤkinɯ', 'wuma', 'ʑo', 'mɯɲɯɤmtɕhoʁ']	['tɕe', 'nɤkinɯ', 'wumaʑo', 'mɯɲɯɤmtɕoʁ']	-1	0.9655172413793104	[1.0, 1.0, 0.8, 0.16666666666666666, 0.0]	0.5933333333333334
ɯjwaʁ nɯnɯ nɤki ɯthɤcu ra rɟum ɯlɤcu tɕe luomtɕoʁ ŋu	ɯjwaʁ nɯnɯ nɤki ɯthɤcu ra rɟum ɯlocu tɕe luomtɕoʁ ŋu	['ɯjwaʁ', 'nɯnɯ', 'nɤki', 'ɯthɤcu', 'ra', 'rɟum', 'ɯlɤcu', 'tɕe', 'luomtɕoʁ', 'ŋu']	['ɯjwaʁ', 'nɯnɯ', 'nɤki', 'ɯthɤcu', 'ra', 'rɟum', 'ɯlocu', 'tɕe', 'luomtɕoʁ', 'ŋu']	0	0.9807692307692307	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 1.0, 1.0, 1.0]	0.98
kɯki li phaʁrgot tɕendɤre mbro tɕe kɯɣɤrʁaʁ tɯrme nɯnɯra kɤti ɲɯŋu	kɯki li phaʁrgot tɕendɤre mbro tɕe kɯɣɤrʁaʁ tɯrme nɯnɯra kɤti ɲɯŋu	['kɯki', 'li', 'phaʁrgot', 'tɕendɤre', 'mbro', 'tɕe', 'kɯɣɤrʁaʁ', 'tɯrme', 'nɯnɯra', 'kɤti', 'ɲɯŋu']	['kɯki', 'li', 'phaʁrgot', 'tɕendɤre', 'mbro', 'tɕe', 'kɯɣɤrʁaʁ', 'tɯrme', 'nɯnɯra', 'kɤti', 'ɲɯŋu']	0	1.0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	1.0
tɕe nɯ ɯpa tɤtɕɯ stu kɯxtɕi nɯ kɯ aʑɯɣ ɯɕa tɕi mɤra ɯɕɤrɯ tɕi mɤra aʑɯɣ ɯndʐi chore ɯmar tɯtɯɣɟaβ nɯ ra  toti	tɕenɯ ɯpa tɤtɕɯ ɯstu kɯxtɕi nɯkɯɤtɯɣ ɯɕa tɕima aɕɤrɯ tɕima aʑɯɣ ɯndʐi chora ɯmat tɯtɯɣɟaβ nɯra toti	['tɕe', 'nɯ', 'ɯpa', 'tɤtɕɯ', 'stu', 'kɯxtɕi', 'nɯ', 'kɯ', 'aʑɯɣ', 'ɯɕa', 'tɕi', 'mɤra', 'ɯɕɤrɯ', 'tɕi', 'mɤra', 'aʑɯɣ', 'ɯndʐi', 'chore', 'ɯmar', 'tɯtɯɣɟaβ', 'nɯ', 'ra', '', 'toti']	['tɕenɯ', 'ɯpa', 'tɤtɕɯ', 'ɯstu', 'kɯxtɕi', 'nɯkɯɤtɯɣ', 'ɯɕa', 'tɕima', 'aɕɤrɯ', 'tɕima', 'aʑɯɣ', 'ɯndʐi', 'chora', 'ɯmat', 'tɯtɯɣɟaβ', 'nɯra', 'toti']	-7	0.8942307692307693	[0.75, 0.4, 0.25, 0.2222222222222222, 0.2222222222222222, 0.42857142857142855, 0.4, 0.0, 0.4444444444444444, 0.5, 0.0, 0.0, 0.2, 0.2857142857142857, 0.16666666666666666, 0.25, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]	0.2392526455026455
tɕendɤre ɯʑo kɯ ɯzda nɯ ɲɯkhe ɲɤnɯsɯso qhe	tɕendɤre ɯʑo kɯ ɯzda nɯ ɲɯkhe ɲ nɯsɯsoj qhe	['tɕendɤre', 'ɯʑo', 'kɯ', 'ɯzda', 'nɯ', 'ɲɯkhe', 'ɲɤnɯsɯso', 'qhe']	['tɕendɤre', 'ɯʑo', 'kɯ', 'ɯzda', 'nɯ', 'ɲɯkhe', 'ɲ', 'nɯsɯsoj', 'qhe']	1	0.9647058823529412	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.2222222222222222, 0.0]	0.7777777777777778
tɕe nɯnɯ kɯfse chɯ́wɣtʂɯβ	tɕen nɯkɯfse chɯ́wɣtʂɯβ	['tɕe', 'nɯnɯ', 'kɯfse', 'chɯ́wɣtʂɯβ']	['tɕen', 'nɯkɯfse', 'chɯ́wɣtʂɯβ']	-1	0.9166666666666666	[0.8571428571428571, 0.5454545454545454, 0.13333333333333333, 0.0]	0.383982683982684
li mɤʑɯ ɯkɯro ci tu tɕe ɯjaftɕin ra	li mɤʑɯ kɯro ci tuthe jaŋtɕin ra	['li', 'mɤʑɯ', 'ɯkɯro', 'ci', 'tu', 'tɕe', 'ɯjaftɕin', 'ra']	['li', 'mɤʑɯ', 'kɯro', 'ci', 'tuthe', 'jaŋtɕin', 'ra']	-1	0.8955223880597015	[1.0, 1.0, 0.8888888888888888, 1.0, 0.5714285714285714, 0.4, 0.2, 0.0]	0.6325396825396825
ki kɯra ɲɯkhama tɕe ki nɤki nɯ aʑɯɣ nɯkhɤm toti	kɯkɯra ɲɯkhama tɕe nɤkinɯ aʑɯɣ nɯkha mɯjoɣinɯ	['ki', 'kɯra', 'ɲɯkhama', 'tɕe', 'ki', 'nɤki', 'nɯ', 'aʑɯɣ', 'nɯkhɤm', 'toti']	['kɯkɯra', 'ɲɯkhama', 'tɕe', 'nɤkinɯ', 'aʑɯɣ', 'nɯkha', 'mɯjoɣinɯ']	-3	0.8043478260869565	[0.25, 0.36363636363636365, 0.0, 0.0, 0.0, 0.4444444444444444, 0.4, 0.0, 0.0, 0.0]	0.1458080808080808
nɯnɯ rgoŋlu nɯ nɯɕɯmɯma ʑo tɯnɤndʐaβlaβ joʑa tɕe jondʐaβ nɤ jondʐaβ	ɲɤmɟa tɕetɕendɤre ɯthoʁ tɕ pjɤβde ri nɤki	['nɯnɯ', 'rgoŋlu', 'nɯ', 'nɯɕɯmɯma', 'ʑo', 'tɯnɤndʐaβlaβ', 'joʑa', 'tɕe', 'jondʐaβ', 'nɤ', 'jondʐaβ']	['ɲɤmɟa', 'tɕetɕendɤre', 'ɯthoʁ', 'tɕ', 'pjɤβde', 'ri', 'nɤki']	-4	0.3148148148148148	[0.0, 0.11764705882352941, 0.2857142857142857, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0.05485103132161956
tɕeri pɯnɯmaʁ kɯnɤ aʑo tham kɯŋɤn kɤnɤma pɯnnɯsɯsota kɯnɤ	tɕeri pɯnɯmaʁ kɯnɤ aʑo tham kɯŋɤn kɤnɯ nɯsɯsota kɯnɤ	['tɕeri', 'pɯnɯmaʁ', 'kɯnɤ', 'aʑo', 'tham', 'kɯŋɤn', 'kɤnɤma', 'pɯnnɯsɯsota', 'kɯnɤ']	['tɕeri', 'pɯnɯmaʁ', 'kɯnɤ', 'aʑo', 'tham', 'kɯŋɤn', 'kɤnɯ', 'nɯsɯsota', 'kɯnɤ']	0	0.9357798165137615	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6, 0.8421052631578947, 1.0]	0.9380116959064327
