Reference	Prediction	Ref_words	Pred_words	Diff_num_words	Lev_distance	Lev_distance_words	Average_lev_dist_words
tʰi˩˥ le˧qæ˧˥ mv̩˩mɤ˩tʰɑ˥dʑo˩ tʰi˩˥ hĩ˧ɳɯ˩ le˧wo˧˥ ə˧mv̩˧ki˥	tʰi˩˥ le˧qæ˧˥ mv̩˩mɤ˩tʰɑ˥ dʑo˩ tʰi˩˥ hĩ˧ɳɯ˩ le˧wo˧ ə˧mv̩˧gi˥	['tʰi˩˥', 'le˧qæ˧˥', 'mv̩˩mɤ˩tʰɑ˥dʑo˩', 'tʰi˩˥', 'hĩ˧ɳɯ˩', 'le˧wo˧˥', 'ə˧mv̩˧ki˥']	['tʰi˩˥', 'le˧qæ˧˥', 'mv̩˩mɤ˩tʰɑ˥', 'dʑo˩', 'tʰi˩˥', 'hĩ˧ɳɯ˩', 'le˧wo˧', 'ə˧mv̩˧gi˥']	1	0.9672131147540983	[1.0, 1.0, 0.8461538461538461, 0.2222222222222222, 0.3333333333333333, 0.14285714285714285, 0.26666666666666666]	0.5444618873190301
hæ˧ni˩ tʰi˧ʑi˧mɤ˥kv̩˩mæ˩ tʰi˧dzi˩kʰɯ˩	hæ˧di˩ tʰi˧ʑi˥kv̩˩mæ˩ tʰi˧dzi˩kʰɯ˩	['hæ˧ni˩', 'tʰi˧ʑi˧mɤ˥kv̩˩mæ˩', 'tʰi˧dzi˩kʰɯ˩']	['hæ˧di˩', 'tʰi˧ʑi˥kv̩˩mæ˩', 'tʰi˧dzi˩kʰɯ˩']	0	0.9295774647887324	[0.8333333333333334, 0.9032258064516129, 1.0]	0.9121863799283154
njo˩kæ˧tɕi˩ɲi˥ pi˧hĩ˧ ʈʰææ̃˧ kʰɯ˧tsʰɤ˧ po˥ɳɯ˩ tsɑ˧di˧ɲi˥ ɖwæ˧˥ tʰi˧di˩kv̩˩	gɤ˩gɤ˧˥ tsɤ˧ɲi˥ pi˩ ʈʰææ̃˧ kʰɯ˧tsʰɤ˧˥ po˥ɳɯ˩ tsɑ˧˥ ɖwæ˧˥ tʰi˧di˩kv̩˩	['njo˩kæ˧tɕi˩ɲi˥', 'pi˧hĩ˧', 'ʈʰææ̃˧', 'kʰɯ˧tsʰɤ˧', 'po˥ɳɯ˩', 'tsɑ˧di˧ɲi˥', 'ɖwæ˧˥', 'tʰi˧di˩kv̩˩']	['gɤ˩gɤ˧˥', 'tsɤ˧ɲi˥', 'pi˩', 'ʈʰææ̃˧', 'kʰɯ˧tsʰɤ˧˥', 'po˥ɳɯ˩', 'tsɑ˧˥', 'ɖwæ˧˥', 'tʰi˧di˩kv̩˩']	1	0.7972027972027972	[0.2857142857142857, 0.2857142857142857, 0.0, 0.26666666666666666, 0.125, 0.125, 0.4, 0.125]	0.20163690476190477
njæ˧sɯ˩kv̩˩dʑo˩ ə˧v̩˧ ɲi˥ze˩mæ˩ tʰi˩˥ kɤ˧zo˧ mv̩˥ʈʂæ˩kv̩˩mæ˩ kɤ˧zo˧tsʰɯ˩ɻ̍˩ pi˧zo˩ kɤ˧zo˧ mv̩˥ʈʂæ˩kv̩˩mæ˩	njæ˧sɯ˩kv̩˩dʑo˩ ə˧v̩˧ ɲi˥ze˩mæ˩ tʰi˩˥ kɤ˧zo˧ mv̩˥ʈʂæ˩kv̩˩mæ˩ kɤ˧zo˧ tsʰɯ˩ pi˧zo˩ kɤ˧zo˧ mv̩˥ʈʂæ˩kv̩˩mæ˩	['njæ˧sɯ˩kv̩˩dʑo˩', 'ə˧v̩˧', 'ɲi˥ze˩mæ˩', 'tʰi˩˥', 'kɤ˧zo˧', 'mv̩˥ʈʂæ˩kv̩˩mæ˩', 'kɤ˧zo˧tsʰɯ˩ɻ̍˩', 'pi˧zo˩', 'kɤ˧zo˧', 'mv̩˥ʈʂæ˩kv̩˩mæ˩']	['njæ˧sɯ˩kv̩˩dʑo˩', 'ə˧v̩˧', 'ɲi˥ze˩mæ˩', 'tʰi˩˥', 'kɤ˧zo˧', 'mv̩˥ʈʂæ˩kv̩˩mæ˩', 'kɤ˧zo˧', 'tsʰɯ˩', 'pi˧zo˩', 'kɤ˧zo˧', 'mv̩˥ʈʂæ˩kv̩˩mæ˩']	1	0.9807692307692307	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6, 0.18181818181818182, 0.5, 0.09523809523809523]	0.7377056277056278
kʰi˧ tʰi˧dzɤ˩ mv̩˩˥ dʑo˩ tʰi˩˥ le˧ɖwæ˩zo˩ z əəə… no˧	kʰi˧ tʰi˧dzi˩ mv̩˩˥ dʑo˩ tʰi˩˥ le˧ɖwæ˩zo˩ əəə… no˧	['kʰi˧', 'tʰi˧dzɤ˩', 'mv̩˩˥', 'dʑo˩', 'tʰi˩˥', 'le˧ɖwæ˩zo˩', 'z', 'əəə…', 'no˧']	['kʰi˧', 'tʰi˧dzi˩', 'mv̩˩˥', 'dʑo˩', 'tʰi˩˥', 'le˧ɖwæ˩zo˩', 'əəə…', 'no˧']	-1	0.9607843137254902	[1.0, 0.875, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]	0.6527777777777778
tɕʰɤ˧ɲi˧ne˧ʝi˥ ʐo˩˥ le˧po˧˥ hõ˧ pi˧dʑo˩ zo˧bæ˩ ɖɯ˧v̩˧ ɳɯ˧ mɤ˧ɲi˧ pi˧tsɯ˩mv̩˩ ɑ˩ʁo˧	tɕʰɤ˧ɲi˧ne˧ʝi˥ ʐo˩˥ le˧po˧˥ hõ˩ pi˧dʑo˩ zo˧bæ˩ ɖɯ˧v̩˧ɳɯ˧ mɤ˧ɲi˩ pi˧tsɯ˩ mv̩˩ ɑ˩ʁo˧	['tɕʰɤ˧ɲi˧ne˧ʝi˥', 'ʐo˩˥', 'le˧po˧˥', 'hõ˧', 'pi˧dʑo˩', 'zo˧bæ˩', 'ɖɯ˧v̩˧', 'ɳɯ˧', 'mɤ˧ɲi˧', 'pi˧tsɯ˩mv̩˩', 'ɑ˩ʁo˧']	['tɕʰɤ˧ɲi˧ne˧ʝi˥', 'ʐo˩˥', 'le˧po˧˥', 'hõ˩', 'pi˧dʑo˩', 'zo˧bæ˩', 'ɖɯ˧v̩˧ɳɯ˧', 'mɤ˧ɲi˩', 'pi˧tsɯ˩', 'mv̩˩', 'ɑ˩ʁo˧']	0	0.963855421686747	[1.0, 1.0, 1.0, 0.75, 1.0, 1.0, 0.8, 0.2222222222222222, 0.3076923076923077, 0.5333333333333333, 1.0]	0.783022533022533
sɑ˧ mv̩˧di˩ dʑo˩ho˩ze˩pi˩ tʰi˩˥ sɑ˧ pʰo˩ mmm… wo˩ pʰo˩˥	sɑ˧ mv̩˩di˩ dʑo˩ho˩ze˩ pi˧ tʰi˩˥ sɑ˧ pʰo˩ mmm… ʁo˩ʁo˥	['sɑ˧', 'mv̩˧di˩', 'dʑo˩ho˩ze˩pi˩', 'tʰi˩˥', 'sɑ˧', 'pʰo˩', 'mmm…', 'wo˩', 'pʰo˩˥']	['sɑ˧', 'mv̩˩di˩', 'dʑo˩ho˩ze˩', 'pi˧', 'tʰi˩˥', 'sɑ˧', 'pʰo˩', 'mmm…', 'ʁo˩ʁo˥']	0	0.8888888888888888	[1.0, 0.8571428571428571, 0.8695652173913043, 0.25, 0.0, 0.0, 0.0, 0.0, 0.5454545454545454]	0.3913514022209674
tʰi˩˥ ə˧si˧ le˧mo˩hĩ˩ tʰv̩˩v̩˩ ʈʰææ̃˧ dʑo˩ tʰi˩˥ mmm… zo˩no˥ mmm… hĩ˧ no˧ɻ̍˩ qʰɑ˧ʈʂʰæ˧ gv̩˧hĩ˧ dʑo˧˥ kwɤ˩tɕɯ˩lɑ˩ tʰi˩˥ ʈʂʰɯ˧v̩˧dʑo˩ wɤ˩˥ ki˧kv̩˥mæ˩	tʰi˩˥ ə˧si˧ le˧mo˩hĩ˩ tʰv̩˧v̩˧ tʰv̩˧ɻæ˥dʑo˩ tʰi˩˥ mmm… zo˩no˥ hĩ˧ no˧ qʰɑ˧ʂwæ˧gv̩˧ hĩ˧ dʑo˧˥ kwɤ˩tɕɯ˩lɑ˩ tʰi˩˥ ʈʂʰɯ˧v̩˧dʑo˩ wɤ˩˥ ki˧kv̩˥mæ˩	['tʰi˩˥', 'ə˧si˧', 'le˧mo˩hĩ˩', 'tʰv̩˩v̩˩', 'ʈʰææ̃˧', 'dʑo˩', 'tʰi˩˥', 'mmm…', 'zo˩no˥', 'mmm…', 'hĩ˧', 'no˧ɻ̍˩', 'qʰɑ˧ʈʂʰæ˧', 'gv̩˧hĩ˧', 'dʑo˧˥', 'kwɤ˩tɕɯ˩lɑ˩', 'tʰi˩˥', 'ʈʂʰɯ˧v̩˧dʑo˩', 'wɤ˩˥', 'ki˧kv̩˥mæ˩']	['tʰi˩˥', 'ə˧si˧', 'le˧mo˩hĩ˩', 'tʰv̩˧v̩˧', 'tʰv̩˧ɻæ˥dʑo˩', 'tʰi˩˥', 'mmm…', 'zo˩no˥', 'hĩ˧', 'no˧', 'qʰɑ˧ʂwæ˧gv̩˧', 'hĩ˧', 'dʑo˧˥', 'kwɤ˩tɕɯ˩lɑ˩', 'tʰi˩˥', 'ʈʂʰɯ˧v̩˧dʑo˩', 'wɤ˩˥', 'ki˧kv̩˥mæ˩']	-2	0.9041095890410958	[1.0, 1.0, 1.0, 0.75, 0.2222222222222222, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0, 0.125, 0.2, 0.14285714285714285, 0.0, 0.2, 0.17391304347826086, 0.4444444444444444, 0.36363636363636365, 0.0, 0.0]	0.2922147719430328
ʁwɤ˧qo˧ ʐv̩˧tsʰi˩ʑi˩ dʑo˩bi˩bi˩ zo˩no˥ əəə… ʐv̩˧tsʰi˩ʑi˩ le˧ʈʂv̩˩se˩dʑo˩ wɤ˩˥ ɑ˩pʰo˩˥ gæ˧ɻæ˩ əəə… lɑ˧ŋwɤ˧ qʰæ˧tɕʰi˧ tʰv̩˧ ə˧zɯ˩ qʰwɤ˩ɖɯ˩ dʑo˩˥ pi˧	ʁwɤ˧qo˧ ʐv̩˧tsʰi˩ʑi˩ dʑo˩bi˩ bi˩ zo˩no˥ əəə… ʐv̩˧tsʰi˩ʑi˩ le˧ʈʂʰv̩˩se˩dʑo˩ wɤ˩˥ ɑ˩pʰo˩˥ mæ˧ɻæ˩ ə˧lɑ˧ʁwɤ˧ qʰæ˧ tɕʰi˩ tʰv̩˧ ə˧zɯ˩ qʰwɤ˩ɖɯ˩˥ dʑo˩˥ pi˧	['ʁwɤ˧qo˧', 'ʐv̩˧tsʰi˩ʑi˩', 'dʑo˩bi˩bi˩', 'zo˩no˥', 'əəə…', 'ʐv̩˧tsʰi˩ʑi˩', 'le˧ʈʂv̩˩se˩dʑo˩', 'wɤ˩˥', 'ɑ˩pʰo˩˥', 'gæ˧ɻæ˩', 'əəə…', 'lɑ˧ŋwɤ˧', 'qʰæ˧tɕʰi˧', 'tʰv̩˧', 'ə˧zɯ˩', 'qʰwɤ˩ɖɯ˩', 'dʑo˩˥', 'pi˧']	['ʁwɤ˧qo˧', 'ʐv̩˧tsʰi˩ʑi˩', 'dʑo˩bi˩', 'bi˩', 'zo˩no˥', 'əəə…', 'ʐv̩˧tsʰi˩ʑi˩', 'le˧ʈʂʰv̩˩se˩dʑo˩', 'wɤ˩˥', 'ɑ˩pʰo˩˥', 'mæ˧ɻæ˩', 'ə˧lɑ˧ʁwɤ˧', 'qʰæ˧', 'tɕʰi˩', 'tʰv̩˧', 'ə˧zɯ˩', 'qʰwɤ˩ɖɯ˩˥', 'dʑo˩˥', 'pi˧']	1	0.9488054607508533	[1.0, 1.0, 0.8235294117647058, 0.2222222222222222, 0.0, 0.0, 0.4444444444444444, 0.1, 0.36363636363636365, 0.15384615384615385, 0.0, 0.75, 0.6153846153846154, 0.4, 0.2, 0.3076923076923077, 0.2857142857142857, 0.0]	0.3703594335947277
wɤ˩˥ le˧lɑ˧˥ wɤ˩˥ ɑ˩ʁo˧ tʰi˧tɕɯ˥ wɤ˩˥ ʝi˧lv̩˧˥ ʈʂʰɯ˧lɑ˩ ɲi˩ wɤ˩	wɤ˩˥ le˧lɑ˧˥ wɤ˩˥ ɑ˩ʁo˧ tʰi˧tɕɯ˥ wɤ˩˥ ʝi˧lv̩˧˥ ʈʂʰɯ˧lɑ˩ ɲi˩ wɤ˩	['wɤ˩˥', 'le˧lɑ˧˥', 'wɤ˩˥', 'ɑ˩ʁo˧', 'tʰi˧tɕɯ˥', 'wɤ˩˥', 'ʝi˧lv̩˧˥', 'ʈʂʰɯ˧lɑ˩', 'ɲi˩', 'wɤ˩']	['wɤ˩˥', 'le˧lɑ˧˥', 'wɤ˩˥', 'ɑ˩ʁo˧', 'tʰi˧tɕɯ˥', 'wɤ˩˥', 'ʝi˧lv̩˧˥', 'ʈʂʰɯ˧lɑ˩', 'ɲi˩', 'wɤ˩']	0	1.0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	1.0
