path	sentence
crdo-NRU_F4_RENAMING_RenamingS001.wav	ə˧ʝi˧-ʂɯ˥ʝi˩-dʑo˩, ◊ ə˩-gi˩! | zo˧mv̩˥-ʈʂʰɯ˩-dʑo˩, | əəə… zo˩no˥… | ə˧ʑi˧˥… | hĩ˧ | le˧-mo˩-hĩ˩, | le˧-mo˩-hĩ˩-ʈʂʰɯ˩ | tʰi˩˥, |
crdo-NRU_F4_RENAMING_RenamingS002.wav	"ʂɯ˧-tsʰi˩, | hõ˩tsʰi˧-kʰv̩˥-hĩ˩, | hɤ˩-ʂe˩~ʂe˩-hĩ˥ | tʰv̩˧-v̩˧-dʑo˩ | tʰi˩˥, |
			zo˧mv̩˥-ki˩ | mv̩˧ ki˧-tʰɑ˧-kv̩˥-mæ˩! |"
crdo-NRU_F4_RENAMING_RenamingS003.wav	no˧=ɻ̍˩, | tʰv̩˧-ɲi˧, | zo˧mv̩˥ | ɖɯ˧-pi˧˥ | ↑ŋv̩˩˥ | pi˧-dʑo˩, |
crdo-NRU_F4_RENAMING_RenamingS004.wav	"""ə˧mi˧! | ə˧ʑi˧=ɻæ˥, | njɤ˧ | zo˧mv̩˥ | ʈʂʰɯ˧-ɭɯ˧ | ɖɯ˧-pi˧˥ | ŋv̩˩˥! | ʁɑ˩mi˧! | no˧ |
			pæ˧˥hwɤ˧ | ə˩-dʑo˧? |"
crdo-NRU_F4_RENAMING_RenamingS005.wav	əəə… njɤ˧ | zo˧mv̩˥ | tʰv̩˧-ɭɯ˧-ki˧ | mv̩˧ ɖɯ˧-kʰwɤ˥ | ki˧-ɻ̍˩-mo˩! |
crdo-NRU_F4_RENAMING_RenamingS006.wav	<njɤ˧ | t…> njɤ˧ | le˧-ʂv̩˧ɖv̩˧-zo˥, | no˧-ki˧ | ʂe˧-tsʰɯ˩-ɲi˩! |
crdo-NRU_F4_RENAMING_RenamingS007.wav	njɤ˧ | ɻ̍˧-ɻ̃˧ tʰo˩-zo˩, | ʁɑ˩mi˧! | kʰv̩˧tɕʰi˧ | mɤ˧-dʑo˧-ze˧! |
crdo-NRU_F4_RENAMING_RenamingS008.wav	"ɖɯ˧-njɤ˧ | ŋv̩˩˥!"" | pi˧-ɲi˥-tsɯ˩ ◊ -mv̩˩. |"
crdo-NRU_F4_RENAMING_RenamingS009.wav	"tʰi˩˥, | ə˧ʑi˧-mo˥ | ʈʂʰɯ˧-jɤ˩-ɳɯ˩: | ""ə˧mi˧! | no˧=ɻ̍˩ | ə˧tso˧ kʰv̩˧-ɲi˥?"" | pi˧
			…-dʑo˩. | tʰi˩˥, | ""njɤ˧ | tsʰi˧ʝi˧-dʑo˩, | zo˧hṽ̩˥ | lɑ˧-kʰv̩˧-ɲi˥!"" | pi˧. |"
crdo-NRU_F4_RENAMING_RenamingS010.wav	"""o! tʰi˩˥ | -no˧˥, | dzo˧ | ɖɯ˧-pɤ˩ tso˩ ə˩-bi˩?"" | pi˧-tsɯ˩ ◊ -mv̩˩. |"
crdo-NRU_F4_RENAMING_RenamingS011.wav	ə˧ʝi˧-ʂɯ˥ʝi˩, | dzo˧! | hĩ˧-se˧-di˧˥, | dzo˧! |
crdo-NRU_F4_RENAMING_RenamingS012.wav	"tʰi˩˥, əəə… | ""dzo˧ | ɖɯ˧-pɤ˩ tso˩-hõ˩!"" | pi˧-dʑo˩ | tʰi˩˥, | ʈʂʰɯ˧, əəə… mmm…
			ə˧mi˧ | ʈʂʰɯ˧-jɤ˩-ɳɯ˩: |"
