path	sentence
hist-14-tApitaRi_S001.wav	api stu kɯwxti nɯnɯ tɕheme ŋu tɕe jidɤm mtshu rmi
hist-14-tApitaRi_S002.wav	tɕe jidɤm mtshu rmi tɕe
hist-14-tApitaRi_S003.wav	iʑo kɤndʑɯʁi ɯŋgɯz stu kɯwxti pɯŋu (ŋu)
hist-14-tApitaRi_S004.wav	tɕendɤre amu awa ni, ndʑircɯrca tɕe iʑora kɯnɤ thɯ́wɣtɕɤti ɕti ma
hist-14-tApitaRi_S005.wav	tɕe ɯʑo pɯwxti qhe, ʑatsa thɯcha qhe
hist-14-tApitaRi_S006.wav	tɕendɤre nɯra iʑora kɤtɕɤt nɯra amu awa ni ndʑircɯrca pɯzdɯɣ 
hist-14-tApitaRi_S007.wav	tɕendɤre pɯzdɯɣ ri, tɕe iʑora thɯwxtij qhe 
hist-14-tApitaRi_S008.wav	ɯʑo ɣnɤsqaptɯ-pɤrme ri qhe nɯ-mɤrʑaβ
hist-14-tApitaRi_S009.wav	tɕe nɯmɤrʑaβ qhe tɯrme ɯkha jari ɕti qhe 
hist-14-tApitaRi_S010.wav	tɯrme ɯkha jari qhe li pɯsɤzdɯxpa ma nɯreri
hist-14-tApitaRi_S011.wav	nɯ-mu nɯ-wa nɯ pɯ-tshoz, (ɯʁi) ɯχti ɣɯ
hist-14-tApitaRi_S012.wav	ɯnmaʁ ɣɯ ɯʁi nɯra pɯ-antɕhɯ-nɯ qhe 
hist-14-tApitaRi_S013.wav	ndɤre nɯra ɯ-taʁ pɯ-ŋɤn-nɯ qhe pɯsɤzdɯxpa
hist-14-tApitaRi_S014.wav	tɕeri ɯʑo wuma ʑo pɯrkaŋ
hist-14-tApitaRi_S015.wav	tɕendɤre ɯrɟit kɯngɯt tɤtu.
hist-14-tApitaRi_S016.wav	ɯrɟit kɯngɯt tɤtu ri, kɯtʂɤɣ nɯsi
hist-14-tApitaRi_S017.wav	kɯtʂɤɣ nɯ-si-nɯ qhe tɕe tɕendɤre 
hist-14-tApitaRi_S018.wav	tham χsɯm tu-nɯ
hist-14-tApitaRi_S019.wav	tɕeri ɯme kɯwxti nɯ nɯmɤrʑaβ, 
hist-14-tApitaRi_S020.wav	ɯtɕɯ nɯ jɤmɤtɕɯ qhe
hist-14-tApitaRi_S021.wav	ɯme kɯxtɕi nɯ tɯlɤt nɯnɯ ɯrkɯ kunɯrɤʑi ŋu.
hist-14-tApitaRi_S022.wav	tɕeri ɯ-me kɯwxti nɯ kɯngɯ-pɤrme thazɣɯt
hist-14-tApitaRi_S023.wav	ɯtɕɯ nɯ kɯxtɕi nɯ ʁnɯ-pɤrme mɯ-pɯzɣɯt ri qhe ɯnmaʁ nɯ nɯ-si.
hist-14-tApitaRi_S024.wav	ɯnmaʁ nɯ to-ngo qhe nɯ-si
hist-14-tApitaRi_S025.wav	tɕendɤre nɯ ɯqhu qhe ɯʑo pɯsɤzdɯxpa ma
hist-14-tApitaRi_S026.wav	tɤpɤtso χsɯm, rgargɯn ʁnɯz, nɯra kɤ-fstɯn pɯ-ra
hist-14-tApitaRi_S027.wav	tɕe rgargɯn ni nɯre ɯ-nmaʁ nɯ-si ri tɕe kɯɕnɤsqi ɯ-ro thɯ-aʑɣɯt-ndʑi
hist-14-tApitaRi_S028.wav	tɕe nɯreri tɕe, ɯ-nmaʁ nɯ nɯ-si ɕti tɕe, 
hist-14-tApitaRi_S029.wav	nɯ ɯ-qhu tɕe, tɕendɤre nɯ-mu nɯ to-ngo
hist-14-tApitaRi_S030.wav	nɯ-mu nɯ to-ngo qhe
hist-14-tApitaRi_S031.wav	ci ci nɯ-si kɯ-fse ci ci tɤ-mna kɯ-fse qhe kɯɕnɯ-xpa ʑo thɯ-mdɯ.
hist-14-tApitaRi_S032.wav	kɯɕnɯ-xpa ʑo thɯ-mdɯ qhe tɕendɤre nɯnɯ lonba kɤ-fstɯn pɯ-ra
hist-14-tApitaRi_S033.wav	rgargɯn ni kɤ-fstɯn pɯ-ra
hist-14-tApitaRi_S034.wav	nɯ-wa nɯnɯ,  nɯ-mu ɯqhu mɤɕtʂa mɯ-tɤ-ngo ri,
hist-14-tApitaRi_S035.wav	nɯ-wa nɯ kɯ ʑatsa nɯ-si
hist-14-tApitaRi_S036.wav	nɯ-wa nɯ tɕe, kɯrcɤsqi ɯro tɯka mɯthazɣɯtndʑi mɤɕtʂa mɯ-nɯ-si-ndʑi nɤ
hist-14-tApitaRi_S037.wav	rgargɯn ni
hist-14-tApitaRi_S038.wav	tɕe nɯra kɤ-fstɯn pɯ-ra qhe tɕendɤre 
hist-14-tApitaRi_S039.wav	wuma ʑo pɯ-sɤzdɯxpa ma 
hist-14-tApitaRi_S040.wav	tɕe tham tɕe tɕe ɯmi tɤ-mŋɤm
hist-14-tApitaRi_S041.wav	api ɣɯ ɯmi tɤmŋɤm qhe, tɕe kutɕu ɯ-mthɤɣ kutɕu tu-mŋɤm ɕti qhe
hist-14-tApitaRi_S042.wav	tham qhe kɤnɯmdzɯ kɯnɤ ɯstu kɤmdzɯ mɤcha wo
hist-14-tApitaRi_S043.wav	tɕe ɯmphɯz ɯntsi ki tu-ste kusɤmdzi ma 
hist-14-tApitaRi_S044.wav	ɯ-mphɯz ʁnaʁna ki kɯ-fse pjɯ-ɣɤntaβ mɯ́j-khɯ
hist-14-tApitaRi_S045.wav	tɕe ki kɯ-fse ɲɯ-ʑɣɤsɤjɤr kɯ-fse ʁɟa ku-rɤʑi ra 
hist-14-tApitaRi_S046.wav	ma ɯʑo kɯnɤ kɯɕnɤsqi thɯ-azɣɯt
hist-14-tApitaRi_S047.wav	kɯɕnɤsqi thazɣɯt ri,
hist-14-tApitaRi_S048.wav	tɕe pɤjkhu ɯmi ɲɯmŋɤm tɕe ri, nɯ kɯnɤ kha tshitsuku ɲɯnɤme ɕti.
hist-14-tApitaRi_S049.wav	tɕe nɯtɕu kɯnɤ ɯjaʁ ɯntsi tɤɲi pjɯ-sɤtse 
hist-14-tApitaRi_S050.wav	ɯjaʁ ɯntsi kɯ tshitsuku ɲɯznɤme qhe,
hist-14-tApitaRi_S051.wav	ʑara nɯ-ndzɤtshi tuβze, fsapaʁ ra nɯ-ndzɤtshi ɲɯβze
hist-14-tApitaRi_S052.wav	tɕe ɕ-pjɯlɤt mɯ́jcha qhe
hist-14-tApitaRi_S053.wav	aftsa ɯ-kɤ-lɤt ɯspa nɯ nɯtɕu tu-mɲɤm 
hist-14-tApitaRi_S054.wav	tɕe nɯreri ku-rɤʑi ra 
hist-14-tApitaRi_S055.wav	tɕeri wuma ʑo sɤzdɯxpa ma ɯ-mɲitsi ʑo ɯ-pjɯ-kɤ-scit maŋe
hist-14-tApitaRi_S056.wav	tɕe ɯʑo kɯnɤ kɯɕnɤsqi ɯro thazɣɯt  (faux: kɯɕnɤsqi tharmbat)
hist-14-tApitaRi_S057.wav	tɕe tham tɕe nɯ kɯfse ku-rɤʑi ŋu ma ri
hist-14-tApitaRi_S058.wav	ɯme nɯ wuma ʑo rkaŋ tɕe pe wo,  tɕe ɯ-taʁ sna
hist-14-tApitaRi_S059.wav	tɕendɤre nɤkinɯ ɯmi pjɯχtɕi, ɯmi ɯndzrɯ ɲɯphɯt
hist-14-tApitaRi_S060.wav	tɕendɤre kha nɯra ɲɯ-nɤme
hist-14-tApitaRi_S061.wav	tɯji ɯŋgɯ tɤrɤku ɕ-tu-nɤme
hist-14-tApitaRi_S062.wav	tɕe nɯŋa pjɯχse, paʁ pjɯχse, tshɤt pjɯχse 
hist-14-tApitaRi_S063.wav	qhe nɯra ɲɯnɤme ra.
hist-14-tApitaRi_S064.wav	tɕe nɯnɯ aftsa tɕheme nɯ wuma rkaŋ tɕe pe ri, ɯrna ɣɤmbɣo
hist-14-tApitaRi_S065.wav	aʑɯɣ mɤʑɯ 
hist-14-tApitaRi_S066.wav	ɯrna ɯntsi nɯ kɯ mucin ʑo mtshɤm me
hist-14-tApitaRi_S067.wav	ma japa to-rɤspɯ, ɯrna ɯŋgɯ
hist-14-tApitaRi_S068.wav	ɯrna to-mŋɤm tɕe to-rɤspɯ
hist-14-tApitaRi_S069.wav	tɕe ɯmtshɤm maka ɲɤme
