Reference	Prediction	Ref_words	Pred_words	Diff_num_words	Lev_distance	Lev_distance_words	Average_lev_dist_words
tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	['tɕe', 'nɤkinɯ', 'wuma', 'ʑo', 'mɯɲɯɤmtɕhoʁ']	['tɕe', 'nɤkinɯ', 'wuma', 'ʑo', 'mɯɲɯɤmtɕhoʁ']	0	1.0	[1.0, 1.0, 1.0, 1.0, 1.0]	1.0
ɯjwaʁ nɯnɯ nɤki ɯthɤcu ra rɟum ɯlɤcu tɕe luomtɕoʁ ŋu	ɯjwaʁ nɯnɯ nɤki ɯthɤcu ra rɟum ɯlocu tɕe luomtɕoʁ ŋu	['ɯjwaʁ', 'nɯnɯ', 'nɤki', 'ɯthɤcu', 'ra', 'rɟum', 'ɯlɤcu', 'tɕe', 'luomtɕoʁ', 'ŋu']	['ɯjwaʁ', 'nɯnɯ', 'nɤki', 'ɯthɤcu', 'ra', 'rɟum', 'ɯlocu', 'tɕe', 'luomtɕoʁ', 'ŋu']	0	0.9807692307692307	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 1.0, 1.0, 1.0]	0.98
kɯki li phaʁrgot tɕendɤre mbro tɕe kɯɣɤrʁaʁ tɯrme nɯnɯra kɤti ɲɯŋu	kɯki li phaʁrgot tɕe ndɤre mbro tɕe kɯɣɤrʁaʁ tɯrme nɯnɯra kɤti ɲɯŋu	['kɯki', 'li', 'phaʁrgot', 'tɕendɤre', 'mbro', 'tɕe', 'kɯɣɤrʁaʁ', 'tɯrme', 'nɯnɯra', 'kɤti', 'ɲɯŋu']	['kɯki', 'li', 'phaʁrgot', 'tɕe', 'ndɤre', 'mbro', 'tɕe', 'kɯɣɤrʁaʁ', 'tɯrme', 'nɯnɯra', 'kɤti', 'ɲɯŋu']	1	0.9924812030075187	[1.0, 1.0, 1.0, 0.5454545454545454, 0.2222222222222222, 0.0, 0.0, 0.3076923076923077, 0.36363636363636365, 0.0, 0.0]	0.40354594900049445
tɕe nɯ ɯpa tɤtɕɯ stu kɯxtɕi nɯ kɯ aʑɯɣ ɯɕa tɕi mɤra ɯɕɤrɯ tɕi mɤra aʑɯɣ ɯndʐi chore ɯmar tɯtɯɣɟaβ nɯ ra  toti	tɕe nɯ ɯpa tɤtɕɯ nɯ stu kɯxtɕi nɯ kɯ aʑɯɣ ɯɕa tɕi mɤra ɯɕɤrɯ tɕi mara aʑɯɣ ɯndʐi cho re ɯmat tɯtɯɣɟaβnɯ ra toti	['tɕe', 'nɯ', 'ɯpa', 'tɤtɕɯ', 'stu', 'kɯxtɕi', 'nɯ', 'kɯ', 'aʑɯɣ', 'ɯɕa', 'tɕi', 'mɤra', 'ɯɕɤrɯ', 'tɕi', 'mɤra', 'aʑɯɣ', 'ɯndʐi', 'chore', 'ɯmar', 'tɯtɯɣɟaβ', 'nɯ', 'ra', '', 'toti']	['tɕe', 'nɯ', 'ɯpa', 'tɤtɕɯ', 'nɯ', 'stu', 'kɯxtɕi', 'nɯ', 'kɯ', 'aʑɯɣ', 'ɯɕa', 'tɕi', 'mɤra', 'ɯɕɤrɯ', 'tɕi', 'mara', 'aʑɯɣ', 'ɯndʐi', 'cho', 're', 'ɯmat', 'tɯtɯɣɟaβnɯ', 'ra', 'toti']	0	0.9545454545454546	[1.0, 1.0, 1.0, 1.0, 0.0, 0.2222222222222222, 0.25, 0.5, 0.3333333333333333, 0.2857142857142857, 0.3333333333333333, 0.0, 0.4444444444444444, 0.25, 0.0, 0.25, 0.2222222222222222, 0.0, 0.0, 0.0, 0.3333333333333333, 0.16666666666666666, 0.0, 1.0]	0.3579695767195767
tɕendɤre ɯʑo kɯ ɯzda nɯ ɲɯkhe ɲɤnɯsɯso qhe	tɕendɤre ɯʑo kɯ ɯzda nɯ ɲɯkhe ɲɤnɯsɯso qhe	['tɕendɤre', 'ɯʑo', 'kɯ', 'ɯzda', 'nɯ', 'ɲɯkhe', 'ɲɤnɯsɯso', 'qhe']	['tɕendɤre', 'ɯʑo', 'kɯ', 'ɯzda', 'nɯ', 'ɲɯkhe', 'ɲɤnɯsɯso', 'qhe']	0	1.0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	1.0
tɕe nɯnɯ kɯfse chɯ́wɣtʂɯβ	tɕe nɯnɯ kɯfse chɯ́wɣtʂɯβ	['tɕe', 'nɯnɯ', 'kɯfse', 'chɯ́wɣtʂɯβ']	['tɕe', 'nɯnɯ', 'kɯfse', 'chɯ́wɣtʂɯβ']	0	1.0	[1.0, 1.0, 1.0, 1.0]	1.0
li mɤʑɯ ɯkɯro ci tu tɕe ɯjaftɕin ra	li mɤʑɯ kɯro ci tu tɕe ɯjaftɕin ra	['li', 'mɤʑɯ', 'ɯkɯro', 'ci', 'tu', 'tɕe', 'ɯjaftɕin', 'ra']	['li', 'mɤʑɯ', 'kɯro', 'ci', 'tu', 'tɕe', 'ɯjaftɕin', 'ra']	0	0.9855072463768116	[1.0, 1.0, 0.8888888888888888, 1.0, 1.0, 1.0, 1.0, 1.0]	0.9861111111111112
ki kɯra ɲɯkhama tɕe ki nɤki nɯ aʑɯɣ nɯkhɤm toti	ki kɯra ɲɯkhama tɕe nɤki nɯ aʑɯɣ nɯkha mɯje toti ri	['ki', 'kɯra', 'ɲɯkhama', 'tɕe', 'ki', 'nɤki', 'nɯ', 'aʑɯɣ', 'nɯkhɤm', 'toti']	['ki', 'kɯra', 'ɲɯkhama', 'tɕe', 'nɤki', 'nɯ', 'aʑɯɣ', 'nɯkha', 'mɯje', 'toti', 'ri']	1	0.8775510204081632	[1.0, 1.0, 1.0, 1.0, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.2222222222222222, 0.2, 1.0]	0.6755555555555556
nɯnɯ rgoŋlu nɯ nɯɕɯmɯma ʑo tɯnɤndʐaβlaβ joʑa tɕe jondʐaβ nɤ jondʐaβ	ɲɤmɟa tɕe tɕendɤre ɯthoʁ tɕe pjɤβde ri nɤki	['nɯnɯ', 'rgoŋlu', 'nɯ', 'nɯɕɯmɯma', 'ʑo', 'tɯnɤndʐaβlaβ', 'joʑa', 'tɕe', 'jondʐaβ', 'nɤ', 'jondʐaβ']	['ɲɤmɟa', 'tɕe', 'tɕendɤre', 'ɯthoʁ', 'tɕe', 'pjɤβde', 'ri', 'nɤki']	-3	0.34545454545454546	[0.0, 0.0, 0.2, 0.15384615384615385, 0.0, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0, 0.0]	0.05236985236985237
tɕeri pɯnɯmaʁ kɯnɤ aʑo tham kɯŋɤn kɤnɤma pɯnnɯsɯsota kɯnɤ	tɕeri pɯnɯmaʁ kɯnɤ aʑo tham kɯŋɤn kɤnɤ mpɯnɯsɯsota kɯnɤ	['tɕeri', 'pɯnɯmaʁ', 'kɯnɤ', 'aʑo', 'tham', 'kɯŋɤn', 'kɤnɤma', 'pɯnnɯsɯsota', 'kɯnɤ']	['tɕeri', 'pɯnɯmaʁ', 'kɯnɤ', 'aʑo', 'tham', 'kɯŋɤn', 'kɤnɤ', 'mpɯnɯsɯsota', 'kɯnɤ']	0	0.9642857142857143	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 0.9090909090909091, 1.0]	0.9676767676767677
