Reference	Prediction
tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɤmtɕhoʁ
ɯjwaʁ nɯnɯ nɤki ɯthɤcu ra rɟum ɯlɤcu tɕe luomtɕoʁ ŋu	ɯjwaʁ nɯnɯ nɤkiɯthɤcu ra ɯrɟum mɯlɤcu tɕe luomtɕoʁ ŋu
kɯki li phaʁrgot tɕendɤre mbro tɕe kɯɣɤrʁaʁ tɯrme nɯnɯra kɤti ɲɯŋu	kɯki li phaʁrgot tɕe ndɤre mbro tɕe kɯɣɤrʁaʁ tɯrme nɯnɯra kɤti ɲɯŋu
tɕe nɯ ɯpa tɤtɕɯ stu kɯxtɕi nɯ kɯ aʑɯɣ ɯɕa tɕi mɤra ɯɕɤrɯ tɕi mɤra aʑɯɣ ɯndʐi chore ɯmar tɯtɯɣɟaβ nɯ ra  toti	tɕe nɯ ɯpa tɤtɕɯ nɯ stu kɯxtɕi nɯ kɯ aʑɯɣ ɯɕatɕi ma ra ɕɤrɯ tɕi ma ra aʑɯɣ ɯndʐi cho re ɯmat tɯtɯɣɟaβ nɯ ra toti
tɕendɤre ɯʑo kɯ ɯzda nɯ ɲɯkhe ɲɤnɯsɯso qhe	tɕendɤre ɯʑo kɯ ɯzda nɯ ɲɯkhe ɲɤnɯsɯso qhe
tɕe nɯnɯ kɯfse chɯ́wɣtʂɯβ	tɕe nɯnɯ kɯfse chɯ́wɣtʂɯβ
li mɤʑɯ ɯkɯro ci tu tɕe ɯjaftɕin ra	li mɤʑɯ kɯro ci tu tɕe ɯjaftɕinɯ ra
ki kɯra ɲɯkhama tɕe ki nɤki nɯ aʑɯɣ nɯkhɤm toti	kɯkɯra nɲɯkhama tɕe nɤkinɯ aʑɯɣnɯkha mɯje toti ri
nɯnɯ rgoŋlu nɯ nɯɕɯmɯma ʑo tɯnɤndʐaβlaβ joʑa tɕe jondʐaβ nɤ jondʐaβ	ɲɤmɟa tɕe tɕendɤre ɯthoʁ tɕe pjɤβde ri nɤki
tɕeri pɯnɯmaʁ kɯnɤ aʑo tham kɯŋɤn kɤnɤma pɯnnɯsɯsota kɯnɤ	tɕeri pɯnɯmaʁ kɯnɤ aʑo tham kɯŋɯn kɤnɤ ma pɯnnɯsɯsota kɯnɤ
nɯnɯ pjɯ́wɣtɕɤt khɯ tɕe	nɯnɯ pjɯ́wɣtɕɤt khɯe
tɕe nɯnɯ ɣɯ ɯjwaʁ nɯ rʁɤβrʁɤβ kɯpa ci ŋu tɕe	tɕe nɯnɯ ɣɯ ɯjwaʁ nɯ rʁɤβrʁɤβ kɯpa ci ŋu tɕe
tɕendɤre iɕqha nɯ maka ɯʑo ʑo tonɯʑɣɤnɯkon qhe joɕe ɲɯŋu	tɕendɤre iɕqha nɯ maka aʑo ʑo tonɤʑɣɤnɯkonɯ qhe joɕe ɲɯŋu
tɕendɤre sŋi χsɯsŋi ɲówɣznɤʁaʁ ʑo tɕendɤre 	tɕendɤre li χsɯsŋi ɲɤ́wɣznɤʁaʁ ʑo tɕendɤre
ɯjwaʁ nɯra qandzɤjo ɯjwaʁ tsa ɲɯfse	ɯjwaʁ nɯra qandzɤ ɯjo ɯjwaʁ tsa ɲɯfse
ɲɤnɤrɯra ri rcanɯ ɯtɯqanɯ pjɤsɤre ʑo 	ɲɤnɤrɯra ri rcanɯ ɯtɯqa  nɯ pjɤsɤre ʑo
tɕendɤre nɤkinɯ tɕe nɯra pɯfse nɯra pɯraŋ tɕe kɯre jɤɣea pɯra toti	tɕendɤre nɤkinɯ tɕe nɯra pɯfse nɯra pɯraŋ tɕe kɯre jɤɣea pɯra toti
ɯqhu nɯ tɕu zdɯm kɯɲaʁ ci luɣi ŋu tɕe	aqhu nɯ tɕ ɯqhu nɯ tɕu zdɯm kɯɲaʁ ci luɣi ŋu tɕe
