Reference	Prediction	Ref_char	Pred_char	F_score_char	Precision_char	Recall_char
tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕhoʁ	['t', 'ɕ', 'e', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 'w', 'u', 'm', 'a', 'S', 'ʑ', 'o', 'S', 'm', 'ɯ', 'ɲ', 'ɯ', 'ɤ', 'm', 't', 'ɕ', 'h', 'o', 'ʁ']	['t', 'ɕ', 'e', 'S', 'n', 'ɤ', 'k', 'i', 'n', 'ɯ', 'S', 'w', 'u', 'm', 'a', 'S', 'ʑ', 'o', 'S', 'm', 'ɯ', 'ɲ', 'ɯ', 'ɤ', 'm', 't', 'ɕ', 'h', 'o', 'ʁ']	1.0	1.0	1.0
ɯjwaʁ nɯnɯ nɤki ɯthɤcu ra rɟum ɯlɤcu tɕe luomtɕoʁ ŋu	ɯjwaʁ nɯnɯ nɤki ɯthɤcu ra rɟum ɯlocu tɕe luomtɕoʁ ŋu	['ɯ', 'j', 'w', 'a', 'ʁ', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'n', 'ɤ', 'k', 'i', 'S', 'ɯ', 't', 'h', 'ɤ', 'c', 'u', 'S', 'r', 'a', 'S', 'r', 'ɟ', 'u', 'm', 'S', 'ɯ', 'l', 'ɤ', 'c', 'u', 'S', 't', 'ɕ', 'e', 'S', 'l', 'u', 'o', 'm', 't', 'ɕ', 'o', 'ʁ', 'S', 'ŋ', 'u']	['ɯ', 'j', 'w', 'a', 'ʁ', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'n', 'ɤ', 'k', 'i', 'S', 'ɯ', 't', 'h', 'ɤ', 'c', 'u', 'S', 'r', 'a', 'S', 'r', 'ɟ', 'u', 'm', 'S', 'ɯ', 'l', 'o', 'c', 'u', 'S', 't', 'ɕ', 'e', 'S', 'l', 'u', 'o', 'm', 't', 'ɕ', 'o', 'ʁ', 'S', 'ŋ', 'u']	0.982	0.985	0.985
kɯki li phaʁrgot tɕendɤre mbro tɕe kɯɣɤrʁaʁ tɯrme nɯnɯra kɤti ɲɯŋu	kɯki li phaʁrgot tɕe ndɤre mbro tɕe kɯɣɤrʁaʁ tɯrme nɯnɯra kɤti ɲɯŋu	['k', 'ɯ', 'k', 'i', 'S', 'l', 'i', 'S', 'p', 'h', 'a', 'ʁ', 'r', 'g', 'o', 't', 'S', 't', 'ɕ', 'e', '*', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'm', 'b', 'r', 'o', 'S', 't', 'ɕ', 'e', 'S', 'k', 'ɯ', 'ɣ', 'ɤ', 'r', 'ʁ', 'a', 'ʁ', 'S', 't', 'ɯ', 'r', 'm', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'r', 'a', 'S', 'k', 'ɤ', 't', 'i', 'S', 'ɲ', 'ɯ', 'ŋ', 'u']	['k', 'ɯ', 'k', 'i', 'S', 'l', 'i', 'S', 'p', 'h', 'a', 'ʁ', 'r', 'g', 'o', 't', 'S', 't', 'ɕ', 'e', 'S', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'm', 'b', 'r', 'o', 'S', 't', 'ɕ', 'e', 'S', 'k', 'ɯ', 'ɣ', 'ɤ', 'r', 'ʁ', 'a', 'ʁ', 'S', 't', 'ɯ', 'r', 'm', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'r', 'a', 'S', 'k', 'ɤ', 't', 'i', 'S', 'ɲ', 'ɯ', 'ŋ', 'u']	0.958	0.996	0.96
tɕe nɯ ɯpa tɤtɕɯ stu kɯxtɕi nɯ kɯ aʑɯɣ ɯɕa tɕi mɤra ɯɕɤrɯ tɕi mɤra aʑɯɣ ɯndʐi chore ɯmar tɯtɯɣɟaβ nɯ ra  toti	tɕe nɯ ɯpa tɤtɕɯ nɯ stu kɯxtɕi nɯ kɯ aʑɯɣ ɯɕa tɕi mɤra ɯɕɤrɯ tɕi mara aʑɯɣ ɯndʐi cho re ɯmat tɯtɯɣɟaβnɯ ra toti	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'S', 'ɯ', 'p', 'a', 'S', 't', 'ɤ', 't', 'ɕ', 'ɯ', 'S', '*', '*', '*', 's', 't', 'u', 'S', 'k', 'ɯ', 'x', 't', 'ɕ', 'i', 'S', 'n', 'ɯ', 'S', 'k', 'ɯ', 'S', 'a', 'ʑ', 'ɯ', 'ɣ', 'S', 'ɯ', 'ɕ', 'a', 'S', 't', 'ɕ', 'i', 'S', 'm', 'ɤ', 'r', 'a', 'S', 'ɯ', 'ɕ', 'ɤ', 'r', 'ɯ', 'S', 't', 'ɕ', 'i', 'S', 'm', 'ɤ', 'r', 'a', 'S', 'a', 'ʑ', 'ɯ', 'ɣ', 'S', 'ɯ', 'n', 'd', 'ʐ', 'i', 'S', 'c', 'h', 'o', '*', 'r', 'e', 'S', 'ɯ', 'm', 'a', 'r', 'S', 't', 'ɯ', 't', 'ɯ', 'ɣ', 'ɟ', 'a', 'β', 'S', 'n', 'ɯ', 'S', 'r', 'a', 'S', 'S', 't', 'o', 't', 'i']	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'S', 'ɯ', 'p', 'a', 'S', 't', 'ɤ', 't', 'ɕ', 'ɯ', 'S', 'n', 'ɯ', 'S', 's', 't', 'u', 'S', 'k', 'ɯ', 'x', 't', 'ɕ', 'i', 'S', 'n', 'ɯ', 'S', 'k', 'ɯ', 'S', 'a', 'ʑ', 'ɯ', 'ɣ', 'S', 'ɯ', 'ɕ', 'a', 'S', 't', 'ɕ', 'i', 'S', 'm', 'ɤ', 'r', 'a', 'S', 'ɯ', 'ɕ', 'ɤ', 'r', 'ɯ', 'S', 't', 'ɕ', 'i', 'S', 'm', 'a', 'r', 'a', 'S', 'a', 'ʑ', 'ɯ', 'ɣ', 'S', 'ɯ', 'n', 'd', 'ʐ', 'i', 'S', 'c', 'h', 'o', 'S', 'r', 'e', 'S', 'ɯ', 'm', 'a', 't', 'S', 't', 'ɯ', 't', 'ɯ', 'ɣ', 'ɟ', 'a', 'β', '*', 'n', 'ɯ', 'S', 'r', 'a', '*', 'S', 't', 'o', 't', 'i']	0.94	0.941	0.942
tɕendɤre ɯʑo kɯ ɯzda nɯ ɲɯkhe ɲɤnɯsɯso qhe	tɕendɤre ɯʑo kɯ ɯzda nɯ ɲɯkhe ɲɤnɯsɯso qhe	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'ɯ', 'ʑ', 'o', 'S', 'k', 'ɯ', 'S', 'ɯ', 'z', 'd', 'a', 'S', 'n', 'ɯ', 'S', 'ɲ', 'ɯ', 'k', 'h', 'e', 'S', 'ɲ', 'ɤ', 'n', 'ɯ', 's', 'ɯ', 's', 'o', 'S', 'q', 'h', 'e']	['t', 'ɕ', 'e', 'n', 'd', 'ɤ', 'r', 'e', 'S', 'ɯ', 'ʑ', 'o', 'S', 'k', 'ɯ', 'S', 'ɯ', 'z', 'd', 'a', 'S', 'n', 'ɯ', 'S', 'ɲ', 'ɯ', 'k', 'h', 'e', 'S', 'ɲ', 'ɤ', 'n', 'ɯ', 's', 'ɯ', 's', 'o', 'S', 'q', 'h', 'e']	1.0	1.0	1.0
tɕe nɯnɯ kɯfse chɯ́wɣtʂɯβ	tɕe nɯnɯ kɯfse chɯ́wɣtʂɯβ	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'k', 'ɯ', 'f', 's', 'e', 'S', 'c', 'h', 'ɯ', '́', 'w', 'ɣ', 't', 'ʂ', 'ɯ', 'β']	['t', 'ɕ', 'e', 'S', 'n', 'ɯ', 'n', 'ɯ', 'S', 'k', 'ɯ', 'f', 's', 'e', 'S', 'c', 'h', 'ɯ', '́', 'w', 'ɣ', 't', 'ʂ', 'ɯ', 'β']	1.0	1.0	1.0
li mɤʑɯ ɯkɯro ci tu tɕe ɯjaftɕin ra	li mɤʑɯ kɯro ci tu tɕe ɯjaftɕin ra	['l', 'i', 'S', 'm', 'ɤ', 'ʑ', 'ɯ', 'S', 'ɯ', 'k', 'ɯ', 'r', 'o', 'S', 'c', 'i', 'S', 't', 'u', 'S', 't', 'ɕ', 'e', 'S', 'ɯ', 'j', 'a', 'f', 't', 'ɕ', 'i', 'n', 'S', 'r', 'a']	['l', 'i', 'S', 'm', 'ɤ', 'ʑ', 'ɯ', 'S', '*', 'k', 'ɯ', 'r', 'o', 'S', 'c', 'i', 'S', 't', 'u', 'S', 't', 'ɕ', 'e', 'S', 'ɯ', 'j', 'a', 'f', 't', 'ɕ', 'i', 'n', 'S', 'r', 'a']	0.943	0.95	0.988
ki kɯra ɲɯkhama tɕe ki nɤki nɯ aʑɯɣ nɯkhɤm toti	ki kɯra ɲɯkhama tɕe nɤki nɯ aʑɯɣ nɯkha mɯje toti ri	['k', 'i', 'S', 'k', 'ɯ', 'r', 'a', 'S', 'ɲ', 'ɯ', 'k', 'h', 'a', 'm', 'a', 'S', 't', 'ɕ', 'e', 'S', 'k', 'i', 'S', 'n', 'ɤ', 'k', 'i', 'S', 'n', 'ɯ', 'S', 'a', 'ʑ', 'ɯ', 'ɣ', 'S', 'n', 'ɯ', 'k', 'h', '*', 'ɤ', 'm', '*', '*', '*', 'S', 't', 'o', 't', 'i', '*', '*', '*']	['k', 'i', 'S', 'k', 'ɯ', 'r', 'a', 'S', 'ɲ', 'ɯ', 'k', 'h', 'a', 'm', 'a', 'S', 't', 'ɕ', 'e', 'S', '*', '*', '*', 'n', 'ɤ', 'k', 'i', 'S', 'n', 'ɯ', 'S', 'a', 'ʑ', 'ɯ', 'ɣ', 'S', 'n', 'ɯ', 'k', 'h', 'a', 'S', 'm', 'ɯ', 'j', 'e', 'S', 't', 'o', 't', 'i', 'S', 'r', 'i']	0.805	0.799	0.893
nɯnɯ rgoŋlu nɯ nɯɕɯmɯma ʑo tɯnɤndʐaβlaβ joʑa tɕe jondʐaβ nɤ jondʐaβ	ɲɤmɟa tɕe tɕendɤre ɯthoʁ tɕe pjɤβde ri nɤki	['n', 'ɯ', 'n', 'ɯ', 'S', 'r', 'g', 'o', 'ŋ', 'l', 'u', 'S', 'n', 'ɯ', 'S', 'n', 'ɯ', 'ɕ', 'ɯ', 'm', 'ɯ', 'm', 'a', 'S', '*', 'ʑ', 'o', 'S', 't', 'ɯ', 'n', 'ɤ', 'n', 'd', 'ʐ', 'a', 'β', 'l', 'a', 'β', 'S', 'j', 'o', 'ʑ', 'a', 'S', 't', 'ɕ', 'e', 'S', '*', 'j', 'o', 'n', 'd', 'ʐ', 'a', 'β', 'S', 'n', 'ɤ', 'S', 'j', 'o', 'n', 'd', 'ʐ', 'a', 'β']	['*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', '*', 'ɲ', 'ɤ', 'm', '*', 'ɟ', 'a', 'S', 't', 'ɕ', 'e', 'S', 't', '*', 'ɕ', 'e', 'n', 'd', '*', 'ɤ', 'r', 'e', 'S', 'ɯ', 't', 'h', 'o', '*', 'ʁ', 'S', 't', 'ɕ', 'e', 'S', 'p', 'j', 'ɤ', 'β', 'd', '*', '*', 'e', 'S', 'r', 'i', 'S', '*', '*', 'n', '*', 'ɤ', 'k', 'i']	0.181	0.496	0.435
tɕeri pɯnɯmaʁ kɯnɤ aʑo tham kɯŋɤn kɤnɤma pɯnnɯsɯsota kɯnɤ	tɕeri pɯnɯmaʁ kɯnɤ aʑo tham kɯŋɤn kɤnɤ mpɯnɯsɯsota kɯnɤ	['t', 'ɕ', 'e', 'r', 'i', 'S', 'p', 'ɯ', 'n', 'ɯ', 'm', 'a', 'ʁ', 'S', 'k', 'ɯ', 'n', 'ɤ', 'S', 'a', 'ʑ', 'o', 'S', 't', 'h', 'a', 'm', 'S', 'k', 'ɯ', 'ŋ', 'ɤ', 'n', 'S', 'k', 'ɤ', 'n', 'ɤ', 'm', 'a', 'S', 'p', 'ɯ', 'n', 'n', 'ɯ', 's', 'ɯ', 's', 'o', 't', 'a', 'S', 'k', 'ɯ', 'n', 'ɤ']	['t', 'ɕ', 'e', 'r', 'i', 'S', 'p', 'ɯ', 'n', 'ɯ', 'm', 'a', 'ʁ', 'S', 'k', 'ɯ', 'n', 'ɤ', 'S', 'a', 'ʑ', 'o', 'S', 't', 'h', 'a', 'm', 'S', 'k', 'ɯ', 'ŋ', 'ɤ', 'n', 'S', 'k', 'ɤ', 'n', 'ɤ', '*', 'S', 'm', 'p', 'ɯ', '*', 'n', 'ɯ', 's', 'ɯ', 's', 'o', 't', 'a', 'S', 'k', 'ɯ', 'n', 'ɤ']	0.918	0.927	0.96
