Reference	Prediction	Ref_words	Pred_words	Diff_num_words	Lev_distance	Lev_distance_words	Average_lev_dist_words
tʰi˩˥ le˧qæ˧˥ mv̩˩mɤ˩tʰɑ˥dʑo˩ tʰi˩˥ hĩ˧ɳɯ˩ le˧wo˧˥ ə˧mv̩˧ki˥	tʰi˩˥ le˧qæ˧˥ ɳv̩˩ mɤ˧tʰɑ˥ dʑo˩ tʰi˩˥ hĩ˧ɳɯ˩ le˧wo˧˥ ə˧mv̩˧ki˥	['tʰi˩˥', 'le˧qæ˧˥', 'mv̩˩mɤ˩tʰɑ˥dʑo˩', 'tʰi˩˥', 'hĩ˧ɳɯ˩', 'le˧wo˧˥', 'ə˧mv̩˧ki˥']	['tʰi˩˥', 'le˧qæ˧˥', 'ɳv̩˩', 'mɤ˧tʰɑ˥', 'dʑo˩', 'tʰi˩˥', 'hĩ˧ɳɯ˩', 'le˧wo˧˥', 'ə˧mv̩˧ki˥']	2	0.9516129032258065	[1.0, 1.0, 0.3157894736842105, 0.5, 0.18181818181818182, 0.16666666666666666, 0.125]	0.469896331738437
hæ˧ni˩ tʰi˧ʑi˧mɤ˥kv̩˩mæ˩ tʰi˧dzi˩kʰɯ˩	hæ˧ni˩ tʰi˧ʑi˧mɤ˥kv̩˩mæ˩ tʰi˧dzi˩kʰɯ˩	['hæ˧ni˩', 'tʰi˧ʑi˧mɤ˥kv̩˩mæ˩', 'tʰi˧dzi˩kʰɯ˩']	['hæ˧ni˩', 'tʰi˧ʑi˧mɤ˥kv̩˩mæ˩', 'tʰi˧dzi˩kʰɯ˩']	0	1.0	[1.0, 1.0, 1.0]	1.0
njo˩kæ˧tɕi˩ɲi˥ pi˧hĩ˧ ʈʰææ̃˧ kʰɯ˧tsʰɤ˧po˥ɳɯ˩ tsɑ˧di˧ɲi˥ɖwæ˧˥ tʰi˧di˩kv̩˩	ɲi˩kæ˧˥ tɕɤ˧ɲi˥pi˩hĩ ʈʰææ̃˧ kʰɯ˧sʰɤ˧po˥ɳɯ˩ tsɑ˩di˧ɲi˥ ɖwæ˧˥ tʰi˧di˩kv̩˩	['njo˩kæ˧tɕi˩ɲi˥', 'pi˧hĩ˧', 'ʈʰææ̃˧', 'kʰɯ˧tsʰɤ˧po˥ɳɯ˩', 'tsɑ˧di˧ɲi˥ɖwæ˧˥', 'tʰi˧di˩kv̩˩']	['ɲi˩kæ˧˥', 'tɕɤ˧ɲi˥pi˩hĩ', 'ʈʰææ̃˧', 'kʰɯ˧sʰɤ˧po˥ɳɯ˩', 'tsɑ˩di˧ɲi˥', 'ɖwæ˧˥', 'tʰi˧di˩kv̩˩']	1	0.8689655172413793	[0.47619047619047616, 0.5, 1.0, 0.9655172413793104, 0.72, 0.125]	0.6311179529282978
njæ˧sɯ˩kv̩˩dʑo˩ ə˧v̩˧ɲi˥ze˩mæ˩ tʰi˩˥ kɤ˧zo˧mv̩˥ʈʂæ˩kv̩˩mæ˩ kɤ˧zo˧tsʰɯ˩ɻ̍˩ pi˧zo˩ kɤ˧zo˧mv̩˥ʈʂæ˩kv̩˩mæ˩	njæ˧sɯ˩kv̩˩dʑo˩ ə˧v̩˧ɲi˥ze˩mæ˩ tʰi˩˥ kɯ˧zo˧mv̩˥ʈʂæ˩kv̩˩mæ˩ kɤ˧zo˧tsʰɯ˩ pi˧zo˩ kɤ˧zo˧mv̩˥ʈʂæ˧kv̩˩mæ˩	['njæ˧sɯ˩kv̩˩dʑo˩', 'ə˧v̩˧ɲi˥ze˩mæ˩', 'tʰi˩˥', 'kɤ˧zo˧mv̩˥ʈʂæ˩kv̩˩mæ˩', 'kɤ˧zo˧tsʰɯ˩ɻ̍˩', 'pi˧zo˩', 'kɤ˧zo˧mv̩˥ʈʂæ˩kv̩˩mæ˩']	['njæ˧sɯ˩kv̩˩dʑo˩', 'ə˧v̩˧ɲi˥ze˩mæ˩', 'tʰi˩˥', 'kɯ˧zo˧mv̩˥ʈʂæ˩kv̩˩mæ˩', 'kɤ˧zo˧tsʰɯ˩', 'pi˧zo˩', 'kɤ˧zo˧mv̩˥ʈʂæ˧kv̩˩mæ˩']	0	0.9651741293532339	[1.0, 1.0, 1.0, 0.9523809523809523, 0.88, 1.0, 0.9523809523809523]	0.9692517006802721
kʰi˧ tʰi˧dzɤ˩ mv̩˩˥ dʑo˩ tʰi˩˥ le˧ɖwæ˩zo˩ zəəə…no	kʰi˧˥ tʰi˧dzi˩ mv̩˩˥ dʑo˩ tʰi˩˥ le˧ɖɤ˩zo˩ oə̃əno˧	['kʰi˧', 'tʰi˧dzɤ˩', 'mv̩˩˥', 'dʑo˩', 'tʰi˩˥', 'le˧ɖwæ˩zo˩', 'zəəə…no']	['kʰi˧˥', 'tʰi˧dzi˩', 'mv̩˩˥', 'dʑo˩', 'tʰi˩˥', 'le˧ɖɤ˩zo˩', 'oə̃əno˧']	0	0.8775510204081632	[0.8888888888888888, 0.875, 1.0, 1.0, 1.0, 0.8421052631578947, 0.5714285714285714]	0.8824889604964793
tɕʰɤ˧ɲi˧ne˧ʝi˥ ʐo˩˥ le˧po˧˥ hõ˧ pi˧dʑo˩ zo˧bæ˩ ɖɯ˧v̩˧ɳɯ˧ mɤ˧ɲi˧ pi˧tsɯ˩mv̩˩ ɑ˩ʁo˧	tɕʰɤ˧ɲi˧le˧ʝi˩ ʐo˩˥ le˧po˧˥hõ˩ pi˧dʑo˩ zo˧bæ˧ ɖɯ˧v̩˧ɳɯ˧ mɤ˧ɲi˩ pi˥tsɯ˩ mv̩˩ ɑ˩ʁo˧	['tɕʰɤ˧ɲi˧ne˧ʝi˥', 'ʐo˩˥', 'le˧po˧˥', 'hõ˧', 'pi˧dʑo˩', 'zo˧bæ˩', 'ɖɯ˧v̩˧ɳɯ˧', 'mɤ˧ɲi˧', 'pi˧tsɯ˩mv̩˩', 'ɑ˩ʁo˧']	['tɕʰɤ˧ɲi˧le˧ʝi˩', 'ʐo˩˥', 'le˧po˧˥hõ˩', 'pi˧dʑo˩', 'zo˧bæ˧', 'ɖɯ˧v̩˧ɳɯ˧', 'mɤ˧ɲi˩', 'pi˥tsɯ˩', 'mv̩˩', 'ɑ˩ʁo˧']	0	0.9146341463414634	[0.8571428571428571, 1.0, 0.7777777777777778, 0.18181818181818182, 0.15384615384615385, 0.13333333333333333, 0.13333333333333333, 0.15384615384615385, 0.5333333333333333, 1.0]	0.49244311244311245
sɑ˧ mv̩˧di˩dʑo˩ho˩ze˩pi˩ tʰi˩˥ sɑ˧pʰo˩ mmm…wo˩pʰo˩˥	sɑ˧ mv̩˧di˩dʑo˩ho˩ze˩pi˩ tʰi˩˥ sɑ˧pʰo˩ mm…ʁwo˩pʰo˧˥	['sɑ˧', 'mv̩˧di˩dʑo˩ho˩ze˩pi˩', 'tʰi˩˥', 'sɑ˧pʰo˩', 'mmm…wo˩pʰo˩˥']	['sɑ˧', 'mv̩˧di˩dʑo˩ho˩ze˩pi˩', 'tʰi˩˥', 'sɑ˧pʰo˩', 'mm…ʁwo˩pʰo˧˥']	0	0.9607843137254902	[1.0, 1.0, 1.0, 1.0, 0.8333333333333334]	0.9666666666666667
tʰi˩˥ ə˧si˧le˧mo˩hĩ˩tʰv̩˩v̩˩ ʈʰææ̃˧ dʑo˩tʰi˩˥ mmm…zo˩no˥ mmm…hĩ˧ no˧ɻ̍˩ qʰɑ˧ʈʂʰæ˧gv̩˧hĩ˧dʑo˧˥ kwɤ˩tɕɯ˩lɑ˩ tʰi˩˥ ʈʂʰɯ˧v̩˧dʑo˩ wɤ˩˥ ki˧kv̩˥mæ˩	tʰi˩˥ ə˧si˧le˧mo˩hĩ˩tʰv̩˩v̩˧ tʰɯæ˧ɻæ˧dʑo˩ tʰi˩˥ mm…zo˩no˥ nhĩ˧no˧ɻ̍˩ qʰɑ˧ʈʂʰæ˧gv̩˧hĩ˧dʑo˧˥ kwɤ˩tɕɯ˩lɑ˩ tʰi˩˥ ʈʂʰɯ˧v̩˧dʑo˩ wɤ˩˥ ki˧kv̩˧˥ mæ˩	['tʰi˩˥', 'ə˧si˧le˧mo˩hĩ˩tʰv̩˩v̩˩', 'ʈʰææ̃˧', 'dʑo˩tʰi˩˥', 'mmm…zo˩no˥', 'mmm…hĩ˧', 'no˧ɻ̍˩', 'qʰɑ˧ʈʂʰæ˧gv̩˧hĩ˧dʑo˧˥', 'kwɤ˩tɕɯ˩lɑ˩', 'tʰi˩˥', 'ʈʂʰɯ˧v̩˧dʑo˩', 'wɤ˩˥', 'ki˧kv̩˥mæ˩']	['tʰi˩˥', 'ə˧si˧le˧mo˩hĩ˩tʰv̩˩v̩˧', 'tʰɯæ˧ɻæ˧dʑo˩', 'tʰi˩˥', 'mm…zo˩no˥', 'nhĩ˧no˧ɻ̍˩', 'qʰɑ˧ʈʂʰæ˧gv̩˧hĩ˧dʑo˧˥', 'kwɤ˩tɕɯ˩lɑ˩', 'tʰi˩˥', 'ʈʂʰɯ˧v̩˧dʑo˩', 'wɤ˩˥', 'ki˧kv̩˧˥', 'mæ˩']	0	0.9333333333333333	[1.0, 0.9565217391304348, 0.4444444444444444, 0.7142857142857143, 0.9473684210526315, 0.42105263157894735, 0.14285714285714285, 0.06060606060606061, 0.25, 0.23529411764705882, 0.125, 0.16666666666666666, 0.46153846153846156]	0.45581810767750486
ʁwɤ˧qo˧ ʐv̩˧tsʰi˩ʑi˩dʑo˩bi˩bi˩ zo˩no˥ əəə…ʐv̩˧tsʰi˩ʑi˩ le˧ʈʂv̩˩se˩dʑo˩ wɤ˩˥ ɑ˩pʰo˩˥ gæ˧ɻæ˩ əəə…lɑ˧ŋwɤ˧ qʰæ˧tɕʰi˧ tʰv̩˧ə˧zɯ˩ qʰwɤ˩ɖɯ˩dʑo˩˥ pi˧	ʁwɤ˧qo˧ ʐv̩˧tsʰi˩ʑi˩dʑo˩bi˩bi˩ zo˩no˥ əə…ʐv̩˧tsʰi˩ʑi˩ le˧ʈʂv̩˩se˩dʑo˩ wɤ˩˥ ɑ˩pʰo˩˥ gæ˧ɻæ˩ əə…lɑ˧ŋwɤ˧ qʰæ˧tɕʰi˥ tʰv̩˧ ə˧zɯ˩ qʰwɤ˩ɖɯ˩dʑo˩˥ pi˧	['ʁwɤ˧qo˧', 'ʐv̩˧tsʰi˩ʑi˩dʑo˩bi˩bi˩', 'zo˩no˥', 'əəə…ʐv̩˧tsʰi˩ʑi˩', 'le˧ʈʂv̩˩se˩dʑo˩', 'wɤ˩˥', 'ɑ˩pʰo˩˥', 'gæ˧ɻæ˩', 'əəə…lɑ˧ŋwɤ˧', 'qʰæ˧tɕʰi˧', 'tʰv̩˧ə˧zɯ˩', 'qʰwɤ˩ɖɯ˩dʑo˩˥', 'pi˧']	['ʁwɤ˧qo˧', 'ʐv̩˧tsʰi˩ʑi˩dʑo˩bi˩bi˩', 'zo˩no˥', 'əə…ʐv̩˧tsʰi˩ʑi˩', 'le˧ʈʂv̩˩se˩dʑo˩', 'wɤ˩˥', 'ɑ˩pʰo˩˥', 'gæ˧ɻæ˩', 'əə…lɑ˧ŋwɤ˧', 'qʰæ˧tɕʰi˥', 'tʰv̩˧', 'ə˧zɯ˩', 'qʰwɤ˩ɖɯ˩dʑo˩˥', 'pi˧']	1	0.9822064056939501	[1.0, 1.0, 1.0, 0.967741935483871, 1.0, 1.0, 1.0, 1.0, 0.9523809523809523, 0.8888888888888888, 0.6666666666666666, 0.2222222222222222, 0.0]	0.8229154358186617
wɤ˩˥ le˧lɑ˧˥ wɤ˩˥ ɑ˩ʁo˧ tʰi˧tɕɯ˥ wɤ˩˥ ʝi˧lv̩˧˥ ʈʂʰɯ˧lɑ˩ɲi˩wɤ˩	wɤ˩˥ le˧lɑ˧˥ wɤ˩˥ ɑ˩ʁo˧ tʰi˧tɕɯ˥ wɤ˩˥ ʝi˧lv̩˥ ʈʂʰɯ˧lɑ˩ɲi˩wɤ˩	['wɤ˩˥', 'le˧lɑ˧˥', 'wɤ˩˥', 'ɑ˩ʁo˧', 'tʰi˧tɕɯ˥', 'wɤ˩˥', 'ʝi˧lv̩˧˥', 'ʈʂʰɯ˧lɑ˩ɲi˩wɤ˩']	['wɤ˩˥', 'le˧lɑ˧˥', 'wɤ˩˥', 'ɑ˩ʁo˧', 'tʰi˧tɕɯ˥', 'wɤ˩˥', 'ʝi˧lv̩˥', 'ʈʂʰɯ˧lɑ˩ɲi˩wɤ˩']	0	0.9917355371900827	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9333333333333333, 1.0]	0.9916666666666667
