Reference,Prediction
tʰi˩˥|le˧qæ˧˥|mv̩˩mɤ˩tʰɑ˥dʑo˩|tʰi˩˥|hĩ˧ɳɯ˩|le˧wo˧˥|ə˧mv̩˧ki˥|,tʰi˩˥ le˧qæ˧˥ ɳv̩˩ mɤ˧tʰɑ˥ dʑo˩ tʰi˩˥ hĩ˧ɳɯ˩ le˧wo˧˥ ə˧mv̩˧ki˥
hæ˧ni˩|tʰi˧ʑi˧mɤ˥kv̩˩mæ˩|tʰi˧dzi˩kʰɯ˩|,hæ˧ni˩ tʰi˧ʑi˧mɤ˥kv̩˩mæ˩ tʰi˧dzi˩kʰɯ˩
njo˩kæ˧tɕi˩ɲi˥|pi˧hĩ˧|ʈʰææ̃˧|kʰɯ˧tsʰɤ˧po˥ɳɯ˩|tsɑ˧di˧ɲi˥ɖwæ˧˥|tʰi˧di˩kv̩˩|,ɲi˩kæ˧˥ tɕɤ˧ɲi˥pi˩hĩ ʈʰææ̃˧ kʰɯ˧sʰɤ˧po˥ɳɯ˩ tsɑ˩di˧ɲi˥ ɖwæ˧˥ tʰi˧di˩kv̩˩
njæ˧sɯ˩kv̩˩dʑo˩|ə˧v̩˧ɲi˥ze˩mæ˩|tʰi˩˥|kɤ˧zo˧mv̩˥ʈʂæ˩kv̩˩mæ˩|kɤ˧zo˧tsʰɯ˩ɻ̍˩|pi˧zo˩|kɤ˧zo˧mv̩˥ʈʂæ˩kv̩˩mæ˩|,njæ˧sɯ˩kv̩˩dʑo˩ ə˧v̩˧ɲi˥ze˩mæ˩ tʰi˩˥ kɯ˧zo˧mv̩˥ʈʂæ˩kv̩˩mæ˩ kɤ˧zo˧tsʰɯ˩ pi˧zo˩ kɤ˧zo˧mv̩˥ʈʂæ˧kv̩˩mæ˩
kʰi˧|tʰi˧dzɤ˩|mv̩˩˥|dʑo˩|tʰi˩˥|le˧ɖwæ˩zo˩|zəəə…no˧,kʰi˧˥ tʰi˧dzi˩ mv̩˩˥ dʑo˩ tʰi˩˥ le˧ɖɤ˩zo˩ oə̃əno˧
tɕʰɤ˧ɲi˧ne˧ʝi˥|ʐo˩˥|le˧po˧˥|hõ˧|pi˧dʑo˩|zo˧bæ˩|ɖɯ˧v̩˧ɳɯ˧|mɤ˧ɲi˧|pi˧tsɯ˩mv̩˩|ɑ˩ʁo˧|,tɕʰɤ˧ɲi˧le˧ʝi˩ ʐo˩˥ le˧po˧˥hõ˩ pi˧dʑo˩ zo˧bæ˧ ɖɯ˧v̩˧ɳɯ˧ mɤ˧ɲi˩ pi˥tsɯ˩ mv̩˩ ɑ˩ʁo˧
sɑ˧|mv̩˧di˩dʑo˩ho˩ze˩pi˩|tʰi˩˥|sɑ˧pʰo˩|mmm…wo˩pʰo˩˥|,sɑ˧ mv̩˧di˩dʑo˩ho˩ze˩pi˩ tʰi˩˥ sɑ˧pʰo˩ mm…ʁwo˩pʰo˧˥
tʰi˩˥|ə˧si˧le˧mo˩hĩ˩tʰv̩˩v̩˩|ʈʰææ̃˧|dʑo˩tʰi˩˥|mmm…zo˩no˥|mmm…hĩ˧|no˧ɻ̍˩|qʰɑ˧ʈʂʰæ˧gv̩˧hĩ˧dʑo˧˥|kwɤ˩tɕɯ˩lɑ˩|tʰi˩˥|ʈʂʰɯ˧v̩˧dʑo˩|wɤ˩˥|ki˧kv̩˥mæ˩|,tʰi˩˥ ə˧si˧le˧mo˩hĩ˩tʰv̩˩v̩˧ tʰɯæ˧ɻæ˧dʑo˩ tʰi˩˥ mm…zo˩no˥ nhĩ˧no˧ɻ̍˩ qʰɑ˧ʈʂʰæ˧gv̩˧hĩ˧dʑo˧˥ kwɤ˩tɕɯ˩lɑ˩ tʰi˩˥ ʈʂʰɯ˧v̩˧dʑo˩ wɤ˩˥ ki˧kv̩˧˥ mæ˩
ʁwɤ˧qo˧|ʐv̩˧tsʰi˩ʑi˩dʑo˩bi˩bi˩|zo˩no˥|əəə…ʐv̩˧tsʰi˩ʑi˩|le˧ʈʂv̩˩se˩dʑo˩|wɤ˩˥|ɑ˩pʰo˩˥|gæ˧ɻæ˩|əəə…lɑ˧ŋwɤ˧|qʰæ˧tɕʰi˧|tʰv̩˧ə˧zɯ˩|qʰwɤ˩ɖɯ˩dʑo˩˥|pi˧|,ʁwɤ˧qo˧ ʐv̩˧tsʰi˩ʑi˩dʑo˩bi˩bi˩ zo˩no˥ əə…ʐv̩˧tsʰi˩ʑi˩ le˧ʈʂv̩˩se˩dʑo˩ wɤ˩˥ ɑ˩pʰo˩˥ gæ˧ɻæ˩ əə…lɑ˧ŋwɤ˧ qʰæ˧tɕʰi˥ tʰv̩˧ ə˧zɯ˩ qʰwɤ˩ɖɯ˩dʑo˩˥ pi˧
wɤ˩˥|le˧lɑ˧˥|wɤ˩˥|ɑ˩ʁo˧|tʰi˧tɕɯ˥|wɤ˩˥|ʝi˧lv̩˧˥|ʈʂʰɯ˧lɑ˩ɲi˩wɤ˩|,wɤ˩˥ le˧lɑ˧˥ wɤ˩˥ ɑ˩ʁo˧ tʰi˧tɕɯ˥ wɤ˩˥ ʝi˧lv̩˥ ʈʂʰɯ˧lɑ˩ɲi˩wɤ˩
mmm…ʁo˧qʰwɤ˩|le˧pv̩˩kʰɯ˩|,mm…ʁo˧qʰwɤ˩ le˧pv̩˩kʰɯ˩
tʰi˩˥|njæ˧sɯ˩kv̩˩|hĩ˧|ɲi˧tsi˧kv̩˧ɲi˥|ə˩gi˩|lɑ˧tʰɑ˧mi˧ɻ̍˧pi˥|,tʰi˩˥ njæ˧sɯ˩kv̩˩ hĩ˧ ɲi˧tsi˧kv̩˧ɲi˥ ə˩gi˩˥ lɑ˧tʰɑ˧mi˧ɻ̍˧pi˥
