Reference	Prediction	Ref_words	Pred_words	Diff_num_words	Lev_distance	Lev_distance_words	Average_lev_dist_words
tɕe nɤkinɯ wuma ʑo mɯɲɯɤmtɕho	tɕe nɤkinɯ wuma ʑo mɯɲɤmtɕhoʁ	['tɕe', 'nɤkinɯ', 'wuma', 'ʑo', 'mɯɲɯɤmtɕho']	['tɕe', 'nɤkinɯ', 'wuma', 'ʑo', 'mɯɲɤmtɕhoʁ']	0	0.9655172413793104	[1.0, 1.0, 1.0, 1.0, 0.9]	0.98
ɯjwaʁ nɯnɯ nɤki ɯthɤcu ra rɟum ɯlɤcu tɕe luomtɕoʁ ŋ	ɯjwaʁ nɯnɯ nɤkiɯthɤcu ra ɯrɟum mɯlɤcu tɕe luomtɕoʁ ŋu	['ɯjwaʁ', 'nɯnɯ', 'nɤki', 'ɯthɤcu', 'ra', 'rɟum', 'ɯlɤcu', 'tɕe', 'luomtɕoʁ', 'ŋ']	['ɯjwaʁ', 'nɯnɯ', 'nɤkiɯthɤcu', 'ra', 'ɯrɟum', 'mɯlɤcu', 'tɕe', 'luomtɕoʁ', 'ŋu']	-1	0.9615384615384616	[1.0, 1.0, 0.5714285714285714, 0.0, 0.2857142857142857, 0.2, 0.0, 0.36363636363636365, 0.2, 0.0]	0.36207792207792205
kɯki li phaʁrgot tɕendɤre mbro tɕe kɯɣɤrʁaʁ tɯrme nɯnɯra kɤti ɲɯŋ	kɯki li phaʁrgot tɕe ndɤre mbro tɕe kɯɣɤrʁaʁ tɯrme nɯnɯra kɤti ɲɯŋu	['kɯki', 'li', 'phaʁrgot', 'tɕendɤre', 'mbro', 'tɕe', 'kɯɣɤrʁaʁ', 'tɯrme', 'nɯnɯra', 'kɤti', 'ɲɯŋ']	['kɯki', 'li', 'phaʁrgot', 'tɕe', 'ndɤre', 'mbro', 'tɕe', 'kɯɣɤrʁaʁ', 'tɯrme', 'nɯnɯra', 'kɤti', 'ɲɯŋu']	1	0.9848484848484849	[1.0, 1.0, 1.0, 0.5454545454545454, 0.2222222222222222, 0.0, 0.0, 0.3076923076923077, 0.36363636363636365, 0.0, 0.0]	0.40354594900049445
tɕe nɯ ɯpa tɤtɕɯ stu kɯxtɕi nɯ kɯ aʑɯɣ ɯɕa tɕi mɤra ɯɕɤrɯ tɕi mɤra aʑɯɣ ɯndʐi chore ɯmar tɯtɯɣɟaβ nɯ ra  tot	tɕe nɯ ɯpa tɤtɕɯ nɯ stu kɯxtɕi nɯ kɯ aʑɯɣ ɯɕatɕi ma ra ɕɤrɯ tɕi ma ra aʑɯɣ ɯndʐi cho re ɯmat tɯtɯɣɟaβ nɯ ra toti	['tɕe', 'nɯ', 'ɯpa', 'tɤtɕɯ', 'stu', 'kɯxtɕi', 'nɯ', 'kɯ', 'aʑɯɣ', 'ɯɕa', 'tɕi', 'mɤra', 'ɯɕɤrɯ', 'tɕi', 'mɤra', 'aʑɯɣ', 'ɯndʐi', 'chore', 'ɯmar', 'tɯtɯɣɟaβ', 'nɯ', 'ra', '', 'tot']	['tɕe', 'nɯ', 'ɯpa', 'tɤtɕɯ', 'nɯ', 'stu', 'kɯxtɕi', 'nɯ', 'kɯ', 'aʑɯɣ', 'ɯɕatɕi', 'ma', 'ra', 'ɕɤrɯ', 'tɕi', 'ma', 'ra', 'aʑɯɣ', 'ɯndʐi', 'cho', 're', 'ɯmat', 'tɯtɯɣɟaβ', 'nɯ', 'ra', 'toti']	2	0.9272727272727272	[1.0, 1.0, 1.0, 1.0, 0.0, 0.2222222222222222, 0.25, 0.5, 0.3333333333333333, 0.2857142857142857, 0.6666666666666666, 0.6666666666666666, 0.2857142857142857, 0.2857142857142857, 0.0, 0.3333333333333333, 0.0, 0.0, 0.2222222222222222, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0]	0.34937169312169314
tɕendɤre ɯʑo kɯ ɯzda nɯ ɲɯkhe ɲɤnɯsɯso qh	tɕendɤre ɯʑo kɯ ɯzda nɯ ɲɯkhe ɲɤnɯsɯso qhe	['tɕendɤre', 'ɯʑo', 'kɯ', 'ɯzda', 'nɯ', 'ɲɯkhe', 'ɲɤnɯsɯso', 'qh']	['tɕendɤre', 'ɯʑo', 'kɯ', 'ɯzda', 'nɯ', 'ɲɯkhe', 'ɲɤnɯsɯso', 'qhe']	0	0.9879518072289156	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8]	0.975
tɕe nɯnɯ kɯfse chɯ́wɣtʂɯ	tɕe nɯnɯ kɯfse chɯ́wɣtʂɯβ	['tɕe', 'nɯnɯ', 'kɯfse', 'chɯ́wɣtʂɯ']	['tɕe', 'nɯnɯ', 'kɯfse', 'chɯ́wɣtʂɯβ']	0	0.9795918367346939	[1.0, 1.0, 1.0, 0.9473684210526315]	0.9868421052631579
li mɤʑɯ ɯkɯro ci tu tɕe ɯjaftɕin r	li mɤʑɯ kɯro ci tu tɕe ɯjaftɕinɯ ra	['li', 'mɤʑɯ', 'ɯkɯro', 'ci', 'tu', 'tɕe', 'ɯjaftɕin', 'r']	['li', 'mɤʑɯ', 'kɯro', 'ci', 'tu', 'tɕe', 'ɯjaftɕinɯ', 'ra']	0	0.9565217391304348	[1.0, 1.0, 0.8888888888888888, 1.0, 1.0, 1.0, 0.9411764705882353, 0.6666666666666666]	0.9370915032679739
ki kɯra ɲɯkhama tɕe ki nɤki nɯ aʑɯɣ nɯkhɤm tot	kɯkɯra nɲɯkhama tɕe nɤkinɯ aʑɯɣnɯkha mɯje toti ri	['ki', 'kɯra', 'ɲɯkhama', 'tɕe', 'ki', 'nɤki', 'nɯ', 'aʑɯɣ', 'nɯkhɤm', 'tot']	['kɯkɯra', 'nɲɯkhama', 'tɕe', 'nɤkinɯ', 'aʑɯɣnɯkha', 'mɯje', 'toti', 'ri']	-2	0.8	[0.25, 0.3333333333333333, 0.0, 0.0, 0.18181818181818182, 0.0, 0.0, 0.0, 0.0, 0.0]	0.07651515151515151
tɕeri pɯnɯmaʁ kɯnɤ aʑo tham kɯŋɤn kɤnɤma pɯnnɯsɯsota kɯn	tɕeri pɯnɯmaʁ kɯnɤ aʑo tham kɯŋɯn kɤnɤ ma pɯnnɯsɯsota kɯnɤ	['tɕeri', 'pɯnɯmaʁ', 'kɯnɤ', 'aʑo', 'tham', 'kɯŋɤn', 'kɤnɤma', 'pɯnnɯsɯsota', 'kɯn']	['tɕeri', 'pɯnɯmaʁ', 'kɯnɤ', 'aʑo', 'tham', 'kɯŋɯn', 'kɤnɤ', 'ma', 'pɯnnɯsɯsota', 'kɯnɤ']	1	0.9649122807017544	[1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 0.8, 0.15384615384615385, 0.2857142857142857]	0.7821733821733822
nɯnɯ pjɯ́wɣtɕɤt khɯ tɕ	nɯnɯ pjɯ́wɣtɕɤt khɯe	['nɯnɯ', 'pjɯ́wɣtɕɤt', 'khɯ', 'tɕ']	['nɯnɯ', 'pjɯ́wɣtɕɤt', 'khɯe']	-1	0.9047619047619048	[1.0, 1.0, 0.8571428571428571, 0.0]	0.7142857142857143
