Reference	Prediction	Ref_noTones	Pred_noTones	Ref_words_noTones	Pred_words_noTones	Diff_num_words	Lev_distance_noTones	Lev_distance_words_notones	Average_lev_dist_notones
tʰi˩˥ le˧qæ˧˥ mv̩˩mɤ˩tʰɑ˥dʑo˩ tʰi˩˥ hĩ˧ɳɯ˩ le˧wo˧˥ ə˧mv̩˧ki˥	tʰi˩˥ le˧qæ˧˥ ɳv̩˩ mɤ˧tʰɑ˥ dʑo˩ tʰi˩˥ hĩ˧ɳɯ˩ le˧wo˧˥ ə˧mv̩˧ki˥	tʰi leqæ mv̩mɤtʰɑdʑo tʰi hĩɳɯ lewo əmv̩ki	tʰi leqæ ɳv̩ mɤtʰɑ dʑo tʰi hĩɳɯ lewo əmv̩ki	['tʰi', 'leqæ', 'mv̩mɤtʰɑdʑo', 'tʰi', 'hĩɳɯ', 'lewo', 'əmv̩ki']	['tʰi', 'leqæ', 'ɳv̩', 'mɤtʰɑ', 'dʑo', 'tʰi', 'hĩɳɯ', 'lewo', 'əmv̩ki']	2	0.9534883720930233	[1.0, 1.0, 0.2857142857142857, 0.5, 0.0, 0.0, 0.18181818181818182]	0.42393320964749537
hæ˧ni˩ tʰi˧ʑi˧mɤ˥kv̩˩mæ˩ tʰi˧dzi˩kʰɯ˩	hæ˧ni˩ tʰi˧ʑi˧mɤ˥kv̩˩mæ˩ tʰi˧dzi˩kʰɯ˩	hæni tʰiʑimɤkv̩mæ tʰidzikʰɯ	hæni tʰiʑimɤkv̩mæ tʰidzikʰɯ	['hæni', 'tʰiʑimɤkv̩mæ', 'tʰidzikʰɯ']	['hæni', 'tʰiʑimɤkv̩mæ', 'tʰidzikʰɯ']	0	1.0	[1.0, 1.0, 1.0]	1.0
njo˩kæ˧tɕi˩ɲi˥ pi˧hĩ˧ ʈʰææ̃˧ kʰɯ˧tsʰɤ˧po˥ɳɯ˩ tsɑ˧di˧ɲi˥ɖwæ˧˥ tʰi˧di˩kv̩˩	ɲi˩kæ˧˥ tɕɤ˧ɲi˥pi˩hĩ ʈʰææ̃˧ kʰɯ˧sʰɤ˧po˥ɳɯ˩ tsɑ˩di˧ɲi˥ ɖwæ˧˥ tʰi˧di˩kv̩˩	njokætɕiɲi pihĩ ʈʰææ̃ kʰɯtsʰɤpoɳɯ tsɑdiɲiɖwæ tʰidikv̩	ɲikæ tɕɤɲipihĩ ʈʰææ̃ kʰɯsʰɤpoɳɯ tsɑdiɲi ɖwæ tʰidikv̩	['njokætɕiɲi', 'pihĩ', 'ʈʰææ̃', 'kʰɯtsʰɤpoɳɯ', 'tsɑdiɲiɖwæ', 'tʰidikv̩']	['ɲikæ', 'tɕɤɲipihĩ', 'ʈʰææ̃', 'kʰɯsʰɤpoɳɯ', 'tsɑdiɲi', 'ɖwæ', 'tʰidikv̩']	1	0.897196261682243	[0.2857142857142857, 0.6666666666666666, 1.0, 0.9523809523809523, 0.8235294117647058, 0.0]	0.6213818860877685
njæ˧sɯ˩kv̩˩dʑo˩ ə˧v̩˧ɲi˥ze˩mæ˩ tʰi˩˥ kɤ˧zo˧mv̩˥ʈʂæ˩kv̩˩mæ˩ kɤ˧zo˧tsʰɯ˩ɻ̍˩ pi˧zo˩ kɤ˧zo˧mv̩˥ʈʂæ˩kv̩˩mæ˩	njæ˧sɯ˩kv̩˩dʑo˩ ə˧v̩˧ɲi˥ze˩mæ˩ tʰi˩˥ kɯ˧zo˧mv̩˥ʈʂæ˩kv̩˩mæ˩ kɤ˧zo˧tsʰɯ˩ pi˧zo˩ kɤ˧zo˧mv̩˥ʈʂæ˧kv̩˩mæ˩	njæsɯkv̩dʑo əv̩ɲizemæ tʰi kɤzomv̩ʈʂækv̩mæ kɤzotsʰɯɻ̍ pizo kɤzomv̩ʈʂækv̩mæ	njæsɯkv̩dʑo əv̩ɲizemæ tʰi kɯzomv̩ʈʂækv̩mæ kɤzotsʰɯ pizo kɤzomv̩ʈʂækv̩mæ	['njæsɯkv̩dʑo', 'əv̩ɲizemæ', 'tʰi', 'kɤzomv̩ʈʂækv̩mæ', 'kɤzotsʰɯɻ̍', 'pizo', 'kɤzomv̩ʈʂækv̩mæ']	['njæsɯkv̩dʑo', 'əv̩ɲizemæ', 'tʰi', 'kɯzomv̩ʈʂækv̩mæ', 'kɤzotsʰɯ', 'pizo', 'kɤzomv̩ʈʂækv̩mæ']	0	0.9722222222222222	[1.0, 1.0, 1.0, 0.9333333333333333, 0.8888888888888888, 1.0, 1.0]	0.9746031746031746
kʰi˧ tʰi˧dzɤ˩ mv̩˩˥ dʑo˩ tʰi˩˥ le˧ɖwæ˩zo˩ zəəə…no	kʰi˧˥ tʰi˧dzi˩ mv̩˩˥ dʑo˩ tʰi˩˥ le˧ɖɤ˩zo˩ oə̃əno˧	kʰi tʰidzɤ mv̩ dʑo tʰi leɖwæzo zəəə…no	kʰi tʰidzi mv̩ dʑo tʰi leɖɤzo oə̃əno	['kʰi', 'tʰidzɤ', 'mv̩', 'dʑo', 'tʰi', 'leɖwæzo', 'zəəə…no']	['kʰi', 'tʰidzi', 'mv̩', 'dʑo', 'tʰi', 'leɖɤzo', 'oə̃əno']	0	0.8648648648648649	[1.0, 0.8333333333333334, 1.0, 1.0, 1.0, 0.7692307692307693, 0.6153846153846154]	0.8882783882783883
tɕʰɤ˧ɲi˧ne˧ʝi˥ ʐo˩˥ le˧po˧˥ hõ˧ pi˧dʑo˩ zo˧bæ˩ ɖɯ˧v̩˧ɳɯ˧ mɤ˧ɲi˧ pi˧tsɯ˩mv̩˩ ɑ˩ʁo˧	tɕʰɤ˧ɲi˧le˧ʝi˩ ʐo˩˥ le˧po˧˥hõ˩ pi˧dʑo˩ zo˧bæ˧ ɖɯ˧v̩˧ɳɯ˧ mɤ˧ɲi˩ pi˥tsɯ˩ mv̩˩ ɑ˩ʁo˧	tɕʰɤɲineʝi ʐo lepo hõ pidʑo zobæ ɖɯv̩ɳɯ mɤɲi pitsɯmv̩ ɑʁo	tɕʰɤɲileʝi ʐo lepohõ pidʑo zobæ ɖɯv̩ɳɯ mɤɲi pitsɯ mv̩ ɑʁo	['tɕʰɤɲineʝi', 'ʐo', 'lepo', 'hõ', 'pidʑo', 'zobæ', 'ɖɯv̩ɳɯ', 'mɤɲi', 'pitsɯmv̩', 'ɑʁo']	['tɕʰɤɲileʝi', 'ʐo', 'lepohõ', 'pidʑo', 'zobæ', 'ɖɯv̩ɳɯ', 'mɤɲi', 'pitsɯ', 'mv̩', 'ɑʁo']	0	0.9655172413793104	[0.9, 1.0, 0.7272727272727273, 0.25, 0.2222222222222222, 0.0, 0.0, 0.2222222222222222, 0.5454545454545454, 1.0]	0.4867171717171717
sɑ˧ mv̩˧di˩dʑo˩ho˩ze˩pi˩ tʰi˩˥ sɑ˧pʰo˩ mmm…wo˩pʰo˩˥	sɑ˧ mv̩˧di˩dʑo˩ho˩ze˩pi˩ tʰi˩˥ sɑ˧pʰo˩ mm…ʁwo˩pʰo˧˥	sɑ mv̩didʑohozepi tʰi sɑpʰo mmm…wopʰo	sɑ mv̩didʑohozepi tʰi sɑpʰo mm…ʁwopʰo	['sɑ', 'mv̩didʑohozepi', 'tʰi', 'sɑpʰo', 'mmm…wopʰo']	['sɑ', 'mv̩didʑohozepi', 'tʰi', 'sɑpʰo', 'mm…ʁwopʰo']	0	0.972972972972973	[1.0, 1.0, 1.0, 1.0, 0.8888888888888888]	0.9777777777777777
tʰi˩˥ ə˧si˧le˧mo˩hĩ˩tʰv̩˩v̩˩ ʈʰææ̃˧ dʑo˩tʰi˩˥ mmm…zo˩no˥ mmm…hĩ˧ no˧ɻ̍˩ qʰɑ˧ʈʂʰæ˧gv̩˧hĩ˧dʑo˧˥ kwɤ˩tɕɯ˩lɑ˩ tʰi˩˥ ʈʂʰɯ˧v̩˧dʑo˩ wɤ˩˥ ki˧kv̩˥mæ˩	tʰi˩˥ ə˧si˧le˧mo˩hĩ˩tʰv̩˩v̩˧ tʰɯæ˧ɻæ˧dʑo˩ tʰi˩˥ mm…zo˩no˥ nhĩ˧no˧ɻ̍˩ qʰɑ˧ʈʂʰæ˧gv̩˧hĩ˧dʑo˧˥ kwɤ˩tɕɯ˩lɑ˩ tʰi˩˥ ʈʂʰɯ˧v̩˧dʑo˩ wɤ˩˥ ki˧kv̩˧˥ mæ˩	tʰi əsilemohĩtʰv̩v̩ ʈʰææ̃ dʑotʰi mmm…zono mmm…hĩ noɻ̍ qʰɑʈʂʰægv̩hĩdʑo kwɤtɕɯlɑ tʰi ʈʂʰɯv̩dʑo wɤ kikv̩mæ	tʰi əsilemohĩtʰv̩v̩ tʰɯæɻædʑo tʰi mm…zono nhĩnoɻ̍ qʰɑʈʂʰægv̩hĩdʑo kwɤtɕɯlɑ tʰi ʈʂʰɯv̩dʑo wɤ kikv̩ mæ	['tʰi', 'əsilemohĩtʰv̩v̩', 'ʈʰææ̃', 'dʑotʰi', 'mmm…zono', 'mmm…hĩ', 'noɻ̍', 'qʰɑʈʂʰægv̩hĩdʑo', 'kwɤtɕɯlɑ', 'tʰi', 'ʈʂʰɯv̩dʑo', 'wɤ', 'kikv̩mæ']	['tʰi', 'əsilemohĩtʰv̩v̩', 'tʰɯæɻædʑo', 'tʰi', 'mm…zono', 'nhĩnoɻ̍', 'qʰɑʈʂʰægv̩hĩdʑo', 'kwɤtɕɯlɑ', 'tʰi', 'ʈʂʰɯv̩dʑo', 'wɤ', 'kikv̩', 'mæ']	0	0.9282296650717703	[1.0, 1.0, 0.42857142857142855, 0.6666666666666666, 0.9333333333333333, 0.4, 0.1, 0.08333333333333333, 0.18181818181818182, 0.16666666666666666, 0.0, 0.0, 0.4444444444444444]	0.41575646575646574
ʁwɤ˧qo˧ ʐv̩˧tsʰi˩ʑi˩dʑo˩bi˩bi˩ zo˩no˥ əəə…ʐv̩˧tsʰi˩ʑi˩ le˧ʈʂv̩˩se˩dʑo˩ wɤ˩˥ ɑ˩pʰo˩˥ gæ˧ɻæ˩ əəə…lɑ˧ŋwɤ˧ qʰæ˧tɕʰi˧ tʰv̩˧ə˧zɯ˩ qʰwɤ˩ɖɯ˩dʑo˩˥ pi˧	ʁwɤ˧qo˧ ʐv̩˧tsʰi˩ʑi˩dʑo˩bi˩bi˩ zo˩no˥ əə…ʐv̩˧tsʰi˩ʑi˩ le˧ʈʂv̩˩se˩dʑo˩ wɤ˩˥ ɑ˩pʰo˩˥ gæ˧ɻæ˩ əə…lɑ˧ŋwɤ˧ qʰæ˧tɕʰi˥ tʰv̩˧ ə˧zɯ˩ qʰwɤ˩ɖɯ˩dʑo˩˥ pi˧	ʁwɤqo ʐv̩tsʰiʑidʑobibi zono əəə…ʐv̩tsʰiʑi leʈʂv̩sedʑo wɤ ɑpʰo gæɻæ əəə…lɑŋwɤ qʰætɕʰi tʰv̩əzɯ qʰwɤɖɯdʑo pi	ʁwɤqo ʐv̩tsʰiʑidʑobibi zono əə…ʐv̩tsʰiʑi leʈʂv̩sedʑo wɤ ɑpʰo gæɻæ əə…lɑŋwɤ qʰætɕʰi tʰv̩ əzɯ qʰwɤɖɯdʑo pi	['ʁwɤqo', 'ʐv̩tsʰiʑidʑobibi', 'zono', 'əəə…ʐv̩tsʰiʑi', 'leʈʂv̩sedʑo', 'wɤ', 'ɑpʰo', 'gæɻæ', 'əəə…lɑŋwɤ', 'qʰætɕʰi', 'tʰv̩əzɯ', 'qʰwɤɖɯdʑo', 'pi']	['ʁwɤqo', 'ʐv̩tsʰiʑidʑobibi', 'zono', 'əə…ʐv̩tsʰiʑi', 'leʈʂv̩sedʑo', 'wɤ', 'ɑpʰo', 'gæɻæ', 'əə…lɑŋwɤ', 'qʰætɕʰi', 'tʰv̩', 'əzɯ', 'qʰwɤɖɯdʑo', 'pi']	1	0.9856459330143541	[1.0, 1.0, 1.0, 0.96, 1.0, 1.0, 1.0, 1.0, 0.9411764705882353, 1.0, 0.7272727272727273, 0.16666666666666666, 0.0]	0.8303935280405869
wɤ˩˥ le˧lɑ˧˥ wɤ˩˥ ɑ˩ʁo˧ tʰi˧tɕɯ˥ wɤ˩˥ ʝi˧lv̩˧˥ ʈʂʰɯ˧lɑ˩ɲi˩wɤ˩	wɤ˩˥ le˧lɑ˧˥ wɤ˩˥ ɑ˩ʁo˧ tʰi˧tɕɯ˥ wɤ˩˥ ʝi˧lv̩˥ ʈʂʰɯ˧lɑ˩ɲi˩wɤ˩	wɤ lelɑ wɤ ɑʁo tʰitɕɯ wɤ ʝilv̩ ʈʂʰɯlɑɲiwɤ	wɤ lelɑ wɤ ɑʁo tʰitɕɯ wɤ ʝilv̩ ʈʂʰɯlɑɲiwɤ	['wɤ', 'lelɑ', 'wɤ', 'ɑʁo', 'tʰitɕɯ', 'wɤ', 'ʝilv̩', 'ʈʂʰɯlɑɲiwɤ']	['wɤ', 'lelɑ', 'wɤ', 'ɑʁo', 'tʰitɕɯ', 'wɤ', 'ʝilv̩', 'ʈʂʰɯlɑɲiwɤ']	0	1.0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	1.0
